Date,City,Value
01-10-2012,Eilat,1010
01-10-2012,Portland,1024
01-10-2012,San Francisco,1010
01-10-2012,Seattle,1030
01-10-2012,Los Angeles,1013
01-10-2012,San Diego,1013
01-10-2012,Las Vegas,1018
01-10-2012,Phoenix,1013
01-10-2012,Albuquerque,1024
01-10-2012,Denver,1028
01-10-2012,San Antonio,1014
01-10-2012,Dallas,1011
01-10-2012,Houston,1008
01-10-2012,Kansas City,1011
01-10-2012,Minneapolis,1012
01-10-2012,Saint Louis,1010
01-10-2012,Chicago,1014
01-10-2012,Nashville,1004
01-10-2012,Indianapolis,1011
01-10-2012,Atlanta,1006
01-10-2012,Detroit,1015
01-10-2012,Jacksonville,1009
01-10-2012,Charlotte,1012
01-10-2012,Miami,1011
01-10-2012,Pittsburgh,1015
01-10-2012,Toronto,1009
01-10-2012,Philadelphia,1014
01-10-2012,New York,1012
01-10-2012,Montreal,924.5
01-10-2012,Boston,1014
01-10-2012,Beersheba,984
01-10-2012,Tel Aviv District,1012
01-10-2012,Haifa,1013
01-10-2012,Nahariyya,1013
01-10-2012,Jerusalem,990
02-10-2012,Portland,1024
02-10-2012,San Francisco,1012.5
02-10-2012,Seattle,1036.5
02-10-2012,Los Angeles,1013
02-10-2012,San Diego,1013
02-10-2012,Las Vegas,1018
02-10-2012,Phoenix,1013
02-10-2012,Albuquerque,1024
02-10-2012,Denver,1028
02-10-2012,San Antonio,1014
02-10-2012,Dallas,1011
02-10-2012,Houston,1008
02-10-2012,Kansas City,1011
02-10-2012,Minneapolis,1012
02-10-2012,Saint Louis,1010
02-10-2012,Chicago,1014
02-10-2012,Nashville,1004
02-10-2012,Indianapolis,1011
02-10-2012,Atlanta,1006
02-10-2012,Detroit,1015
02-10-2012,Jacksonville,1009
02-10-2012,Charlotte,1012
02-10-2012,Miami,1011
02-10-2012,Pittsburgh,1015
02-10-2012,Toronto,1001.5
02-10-2012,Philadelphia,1014
02-10-2012,New York,1012
02-10-2012,Boston,1014
02-10-2012,Beersheba,984
02-10-2012,Tel Aviv District,1012
02-10-2012,Eilat,1010
02-10-2012,Haifa,1013
02-10-2012,Nahariyya,1013
02-10-2012,Jerusalem,990
02-10-2012,Vancouver,1011
02-10-2012,Montreal,1006
03-10-2012,Vancouver,1010
03-10-2012,Portland,1021.5
03-10-2012,San Francisco,1011
03-10-2012,Seattle,1022.5
03-10-2012,Los Angeles,1010
03-10-2012,San Diego,1011
03-10-2012,Las Vegas,1014
03-10-2012,Phoenix,1012
03-10-2012,Albuquerque,1022
03-10-2012,Denver,1018.5
03-10-2012,San Antonio,1015
03-10-2012,Dallas,1013
03-10-2012,Houston,1011
03-10-2012,Kansas City,1013
03-10-2012,Minneapolis,1014
03-10-2012,Saint Louis,1009.5
03-10-2012,Chicago,1011
03-10-2012,Nashville,1005
03-10-2012,Indianapolis,1007
03-10-2012,Atlanta,1007.5
03-10-2012,Detroit,1012
03-10-2012,Jacksonville,1010
03-10-2012,Charlotte,1011
03-10-2012,Miami,1013.5
03-10-2012,Pittsburgh,1010
03-10-2012,Toronto,1012
03-10-2012,Philadelphia,1015
03-10-2012,New York,1015
03-10-2012,Boston,1013
03-10-2012,Beersheba,986
03-10-2012,Tel Aviv District,1014
03-10-2012,Eilat,1013
03-10-2012,Haifa,1013
03-10-2012,Nahariyya,1013
03-10-2012,Jerusalem,991
03-10-2012,Montreal,1013
04-10-2012,Portland,1023
04-10-2012,San Francisco,1010.5
04-10-2012,Seattle,1026
04-10-2012,Los Angeles,1012
04-10-2012,San Diego,1013
04-10-2012,Las Vegas,1011
04-10-2012,Phoenix,1012
04-10-2012,Albuquerque,1018
04-10-2012,Denver,1014
04-10-2012,San Antonio,1016
04-10-2012,Dallas,1014
04-10-2012,Houston,1015
04-10-2012,Kansas City,1013
04-10-2012,Minneapolis,1012
04-10-2012,Saint Louis,1015
04-10-2012,Chicago,1013.5
04-10-2012,Nashville,1017.5
04-10-2012,Indianapolis,1015.5
04-10-2012,Atlanta,1019
04-10-2012,Detroit,1016
04-10-2012,Jacksonville,1019
04-10-2012,Charlotte,1018.5
04-10-2012,Miami,1019
04-10-2012,Pittsburgh,1017
04-10-2012,Toronto,1000
04-10-2012,Philadelphia,1017
04-10-2012,New York,1016.5
04-10-2012,Boston,1019
04-10-2012,Beersheba,986.5
04-10-2012,Tel Aviv District,1014
04-10-2012,Eilat,1013
04-10-2012,Haifa,1013
04-10-2012,Nahariyya,1013
04-10-2012,Jerusalem,991
04-10-2012,Montreal,1018
04-10-2012,Vancouver,1019
05-10-2012,Portland,1022
05-10-2012,San Francisco,1014.5
05-10-2012,Seattle,1025.5
05-10-2012,Los Angeles,1017
05-10-2012,San Diego,1018
05-10-2012,Las Vegas,1014
05-10-2012,Phoenix,1014.5
05-10-2012,Albuquerque,1022.5
05-10-2012,Denver,1024
05-10-2012,San Antonio,1018
05-10-2012,Dallas,1017.5
05-10-2012,Houston,1018.5
05-10-2012,Kansas City,1014
05-10-2012,Minneapolis,1011.5
05-10-2012,Saint Louis,1018
05-10-2012,Chicago,1016
05-10-2012,Nashville,1023
05-10-2012,Indianapolis,1020
05-10-2012,Atlanta,1024
05-10-2012,Detroit,1019
05-10-2012,Jacksonville,1022
05-10-2012,Charlotte,1023
05-10-2012,Miami,1020
05-10-2012,Pittsburgh,1022
05-10-2012,Toronto,1018
05-10-2012,Philadelphia,1020
05-10-2012,New York,1020
05-10-2012,Boston,1021
05-10-2012,Beersheba,984
05-10-2012,Tel Aviv District,1013
05-10-2012,Eilat,1011.5
05-10-2012,Haifa,1013
05-10-2012,Nahariyya,1013
05-10-2012,Jerusalem,990
05-10-2012,Montreal,1020
05-10-2012,Vancouver,1015.5
06-10-2012,Vancouver,1015
06-10-2012,Portland,1023
06-10-2012,San Francisco,1020
06-10-2012,Seattle,1025
06-10-2012,Los Angeles,1017.5
06-10-2012,San Diego,1018
06-10-2012,Las Vegas,1014
06-10-2012,Phoenix,1015.5
06-10-2012,Albuquerque,1021
06-10-2012,Denver,1024
06-10-2012,San Antonio,1019.5
06-10-2012,Dallas,1018
06-10-2012,Houston,1019
06-10-2012,Kansas City,1024.5
06-10-2012,Minneapolis,1020
06-10-2012,Saint Louis,1023
06-10-2012,Chicago,1019
06-10-2012,Indianapolis,1020
06-10-2012,Atlanta,1023
06-10-2012,Detroit,1017
06-10-2012,Jacksonville,1020
06-10-2012,Charlotte,1022.5
06-10-2012,Miami,1017
06-10-2012,Pittsburgh,1020
06-10-2012,Toronto,1000
06-10-2012,Philadelphia,1019
06-10-2012,New York,1017
06-10-2012,Montreal,1014
06-10-2012,Boston,1020
06-10-2012,Beersheba,984
06-10-2012,Tel Aviv District,1013
06-10-2012,Eilat,1012
06-10-2012,Haifa,1013
06-10-2012,Nahariyya,1013
06-10-2012,Jerusalem,989.5
06-10-2012,Nashville,1022
07-10-2012,Portland,1021
07-10-2012,San Francisco,1018
07-10-2012,Seattle,1023.5
07-10-2012,Los Angeles,1014
07-10-2012,San Diego,1015
07-10-2012,Las Vegas,1013
07-10-2012,Phoenix,1013
07-10-2012,Albuquerque,1018
07-10-2012,Denver,1024.5
07-10-2012,San Antonio,1017
07-10-2012,Dallas,1021
07-10-2012,Houston,1016
07-10-2012,Kansas City,1026
07-10-2012,Minneapolis,1022.5
07-10-2012,Saint Louis,1023.5
07-10-2012,Chicago,1020
07-10-2012,Nashville,1020
07-10-2012,Indianapolis,1020
07-10-2012,Atlanta,1017
07-10-2012,Detroit,1016
07-10-2012,Jacksonville,1015.5
07-10-2012,Charlotte,1016
07-10-2012,Miami,1014
07-10-2012,Pittsburgh,1014.5
07-10-2012,Toronto,1000
07-10-2012,Philadelphia,1012
07-10-2012,New York,1011
07-10-2012,Boston,1015
07-10-2012,Beersheba,984.5
07-10-2012,Tel Aviv District,1013
07-10-2012,Eilat,1012
07-10-2012,Haifa,1013
07-10-2012,Nahariyya,1013
07-10-2012,Jerusalem,990
07-10-2012,Vancouver,1014
07-10-2012,Montreal,1008
08-10-2012,Portland,1018
08-10-2012,San Francisco,1016
08-10-2012,Seattle,1019
08-10-2012,Los Angeles,1012
08-10-2012,San Diego,1013.5
08-10-2012,Las Vegas,1012
08-10-2012,Phoenix,1011
08-10-2012,Denver,1022
08-10-2012,San Antonio,1021
08-10-2012,Dallas,1025
08-10-2012,Houston,1019
08-10-2012,Kansas City,1026
08-10-2012,Minneapolis,1022
08-10-2012,Saint Louis,1024
08-10-2012,Chicago,1022
08-10-2012,Nashville,1021
08-10-2012,Indianapolis,1021
08-10-2012,Atlanta,1017
08-10-2012,Detroit,1020
08-10-2012,Jacksonville,1015
08-10-2012,Charlotte,1016.5
08-10-2012,Miami,1014
08-10-2012,Pittsburgh,1019
08-10-2012,Philadelphia,1018
08-10-2012,New York,1017
08-10-2012,Montreal,1015.5
08-10-2012,Boston,1016
08-10-2012,Beersheba,984
08-10-2012,Tel Aviv District,1013
08-10-2012,Eilat,1011
08-10-2012,Haifa,1013
08-10-2012,Nahariyya,1013
08-10-2012,Jerusalem,990
08-10-2012,Albuquerque,1017
08-10-2012,Toronto,1016
08-10-2012,Vancouver,1009
09-10-2012,Portland,1014
09-10-2012,San Francisco,1016
09-10-2012,Seattle,1014
09-10-2012,Los Angeles,1013.5
09-10-2012,San Diego,1014
09-10-2012,Las Vegas,1013
09-10-2012,Phoenix,1012
09-10-2012,Albuquerque,1021
09-10-2012,Denver,1016
09-10-2012,San Antonio,1023
09-10-2012,Dallas,1024
09-10-2012,Houston,1021
09-10-2012,Kansas City,1020
09-10-2012,Minneapolis,1009
09-10-2012,Saint Louis,1023
09-10-2012,Chicago,1021
09-10-2012,Nashville,1022
09-10-2012,Indianapolis,1022.5
09-10-2012,Atlanta,1019
09-10-2012,Detroit,1022
09-10-2012,Jacksonville,1016
09-10-2012,Charlotte,1021
09-10-2012,Miami,1014
09-10-2012,Pittsburgh,1023
09-10-2012,Toronto,1009.5
09-10-2012,Philadelphia,1024
09-10-2012,New York,1021
09-10-2012,Boston,1019
09-10-2012,Beersheba,984.5
09-10-2012,Tel Aviv District,1013
09-10-2012,Eilat,1012
09-10-2012,Haifa,1013
09-10-2012,Nahariyya,1013
09-10-2012,Jerusalem,990
09-10-2012,Montreal,1020.5
09-10-2012,Vancouver,1014
10-10-2012,Vancouver,1016
10-10-2012,Portland,1018
10-10-2012,San Francisco,1017
10-10-2012,Seattle,1018.5
10-10-2012,Los Angeles,1014
10-10-2012,San Diego,1016
10-10-2012,Las Vegas,1011
10-10-2012,Phoenix,1012.5
10-10-2012,Albuquerque,1018.5
10-10-2012,Denver,1013.5
10-10-2012,San Antonio,1018
10-10-2012,Dallas,1017
10-10-2012,Houston,1019
10-10-2012,Kansas City,1013
10-10-2012,Minneapolis,1007
10-10-2012,Saint Louis,1017.5
10-10-2012,Chicago,1015
10-10-2012,Nashville,1021
10-10-2012,Indianapolis,1020
10-10-2012,Atlanta,1020
10-10-2012,Detroit,1019.5
10-10-2012,Jacksonville,1018
10-10-2012,Charlotte,1021
10-10-2012,Miami,1015
10-10-2012,Pittsburgh,1022
10-10-2012,Toronto,1000
10-10-2012,Philadelphia,1022
10-10-2012,New York,1023
10-10-2012,Boston,1018
10-10-2012,Beersheba,983
10-10-2012,Tel Aviv District,1012
10-10-2012,Eilat,1010
10-10-2012,Haifa,1013
10-10-2012,Nahariyya,1013
10-10-2012,Jerusalem,989
10-10-2012,Montreal,1019
11-10-2012,Vancouver,1015
11-10-2012,Portland,1014.5
11-10-2012,San Francisco,1013
11-10-2012,Seattle,1016
11-10-2012,Los Angeles,1011
11-10-2012,San Diego,1014
11-10-2012,Las Vegas,992.5
11-10-2012,Phoenix,1000
11-10-2012,Albuquerque,1010.5
11-10-2012,Denver,993
11-10-2012,San Antonio,1017
11-10-2012,Dallas,1016
11-10-2012,Houston,1016
