Date,City,Value
01-10-2012,Eilat,310.12
01-10-2012,Vancouver,284.62
01-10-2012,Portland,282.12
01-10-2012,San Francisco,289.42
01-10-2012,Seattle,281.77
01-10-2012,Los Angeles,291.85
01-10-2012,San Diego,291.57
01-10-2012,Las Vegas,293.36
01-10-2012,Phoenix,296.7
01-10-2012,Albuquerque,285.47
01-10-2012,Denver,284.58
01-10-2012,San Antonio,289.44
01-10-2012,Dallas,290.03
01-10-2012,Houston,288.44
01-10-2012,Kansas City,290.16
01-10-2012,Minneapolis,287.12
01-10-2012,Saint Louis,286.24
01-10-2012,Chicago,284.55
01-10-2012,Nashville,287.55
01-10-2012,Indianapolis,284.1
01-10-2012,Atlanta,294.09
01-10-2012,Detroit,284.49
01-10-2012,Jacksonville,298.58
01-10-2012,Charlotte,288.65
01-10-2012,Miami,299.87
01-10-2012,Pittsburgh,281.28
01-10-2012,Toronto,286.29
01-10-2012,Philadelphia,286.04
01-10-2012,New York,288.56
01-10-2012,Montreal,285.89
01-10-2012,Boston,287.37
01-10-2012,Beersheba,306.65
01-10-2012,Tel Aviv District,304.15
01-10-2012,Haifa,304.4
01-10-2012,Nahariyya,304.4
01-10-2012,Jerusalem,303.5
02-10-2012,Vancouver,284.6
02-10-2012,Portland,282.27
02-10-2012,San Francisco,289.3
02-10-2012,Seattle,281.7
02-10-2012,Los Angeles,291.8
02-10-2012,San Diego,291.75
02-10-2012,Las Vegas,293.27
02-10-2012,Phoenix,297.1
02-10-2012,Albuquerque,286.86
02-10-2012,Denver,284.51
02-10-2012,San Antonio,290.05
02-10-2012,Dallas,291.22
02-10-2012,Houston,289.09
02-10-2012,Kansas City,290.87
02-10-2012,Minneapolis,288.14
02-10-2012,Saint Louis,286.49
02-10-2012,Chicago,286.69
02-10-2012,Nashville,288.14
02-10-2012,Indianapolis,285.02
02-10-2012,Atlanta,294.34
02-10-2012,Detroit,286.31
02-10-2012,Jacksonville,300.14
02-10-2012,Charlotte,288.66
02-10-2012,Miami,300.26
02-10-2012,Pittsburgh,282.39
02-10-2012,Toronto,286.41
02-10-2012,Philadelphia,287.68
02-10-2012,New York,289.95
02-10-2012,Montreal,286.12
02-10-2012,Boston,288.17
02-10-2012,Beersheba,302.34
02-10-2012,Tel Aviv District,303.38
02-10-2012,Eilat,308.68
02-10-2012,Haifa,304.4
02-10-2012,Nahariyya,304.4
02-10-2012,Jerusalem,303.5
03-10-2012,Vancouver,284.92
03-10-2012,Portland,289.28
03-10-2012,San Francisco,297.22
