Date,City,Impact
01-10-2012,Vancouver,broken clouds
01-10-2012,Portland,scattered clouds
01-10-2012,San Francisco,sky is clear
01-10-2012,Seattle,scattered clouds
01-10-2012,Los Angeles,sky is clear
01-10-2012,San Diego,sky is clear
01-10-2012,Las Vegas,sky is clear
01-10-2012,Phoenix,sky is clear
01-10-2012,Albuquerque,sky is clear
01-10-2012,Denver,broken clouds
01-10-2012,San Antonio,sky is clear
01-10-2012,Dallas,sky is clear
01-10-2012,Houston,scattered clouds
01-10-2012,Kansas City,sky is clear
01-10-2012,Minneapolis,broken clouds
01-10-2012,Saint Louis,sky is clear
01-10-2012,Chicago,overcast clouds
01-10-2012,Nashville,overcast clouds
01-10-2012,Indianapolis,overcast clouds
01-10-2012,Atlanta,overcast clouds
01-10-2012,Detroit,sky is clear
01-10-2012,Jacksonville,scattered clouds
01-10-2012,Charlotte,overcast clouds
01-10-2012,Miami,broken clouds
01-10-2012,Pittsburgh,scattered clouds
01-10-2012,Toronto,sky is clear
01-10-2012,Philadelphia,broken clouds
01-10-2012,New York,few clouds
01-10-2012,Montreal,sky is clear
01-10-2012,Boston,few clouds
01-10-2012,Beersheba,overcast clouds
01-10-2012,Tel Aviv District,sky is clear
01-10-2012,Eilat,broken clouds
01-10-2012,Haifa,overcast clouds
01-10-2012,Nahariyya,overcast clouds
01-10-2012,Jerusalem,overcast clouds
02-10-2012,Vancouver,broken clouds
02-10-2012,Portland,scattered clouds
02-10-2012,San Francisco,sky is clear
02-10-2012,Seattle,scattered clouds
02-10-2012,Los Angeles,sky is clear
02-10-2012,San Diego,few clouds
02-10-2012,Las Vegas,sky is clear
02-10-2012,Phoenix,sky is clear
02-10-2012,Albuquerque,sky is clear
02-10-2012,Denver,broken clouds
02-10-2012,San Antonio,sky is clear
02-10-2012,Dallas,few clouds
02-10-2012,Houston,scattered clouds
02-10-2012,Kansas City,sky is clear
02-10-2012,Minneapolis,overcast clouds
02-10-2012,Saint Louis,sky is clear
02-10-2012,Chicago,overcast clouds
02-10-2012,Nashville,overcast clouds
02-10-2012,Indianapolis,overcast clouds
02-10-2012,Atlanta,overcast clouds
02-10-2012,Detroit,sky is clear
02-10-2012,Jacksonville,moderate rain
02-10-2012,Charlotte,overcast clouds
02-10-2012,Miami,broken clouds
02-10-2012,Pittsburgh,scattered clouds
02-10-2012,Toronto,sky is clear
02-10-2012,Philadelphia,broken clouds
02-10-2012,New York,few clouds
02-10-2012,Montreal,sky is clear
02-10-2012,Boston,few clouds
02-10-2012,Beersheba,overcast clouds
02-10-2012,Tel Aviv District,sky is clear
02-10-2012,Eilat,broken clouds
02-10-2012,Haifa,overcast clouds
02-10-2012,Nahariyya,overcast clouds
02-10-2012,Jerusalem,overcast clouds
03-10-2012,Vancouver,sky is clear
03-10-2012,Portland,few clouds
03-10-2012,San Francisco,sky is clear
03-10-2012,Seattle,overcast clouds
03-10-2012,Los Angeles,sky is clear
03-10-2012,San Diego,mist
03-10-2012,Las Vegas,sky is clear
03-10-2012,Phoenix,sky is clear
03-10-2012,Albuquerque,sky is clear
03-10-2012,Denver,few clouds
03-10-2012,San Antonio,sky is clear
03-10-2012,Dallas,broken clouds
03-10-2012,Houston,haze
03-10-2012,Kansas City,sky is clear
03-10-2012,Minneapolis,sky is clear
03-10-2012,Saint Louis,sky is clear
03-10-2012,Chicago,overcast clouds
03-10-2012,Nashville,overcast clouds
03-10-2012,Indianapolis,mist
03-10-2012,Atlanta,mist
03-10-2012,Detroit,mist
03-10-2012,Jacksonville,broken clouds
03-10-2012,Charlotte,light intensity drizzle
03-10-2012,Miami,light rain
03-10-2012,Pittsburgh,mist
03-10-2012,Toronto,sky is clear
03-10-2012,Philadelphia,overcast clouds
03-10-2012,New York,mist
03-10-2012,Montreal,sky is clear
03-10-2012,Boston,mist
03-10-2012,Beersheba,sky is clear
03-10-2012,Tel Aviv District,scattered clouds
03-10-2012,Eilat,sky is clear
03-10-2012,Haifa,sky is clear
03-10-2012,Nahariyya,sky is clear
03-10-2012,Jerusalem,sky is clear
04-10-2012,Vancouver,sky is clear
04-10-2012,Portland,sky is clear
04-10-2012,San Francisco,mist
04-10-2012,Seattle,sky is clear
04-10-2012,Los Angeles,mist
04-10-2012,San Diego,fog
04-10-2012,Las Vegas,sky is clear
04-10-2012,Phoenix,sky is clear
04-10-2012,Albuquerque,sky is clear
04-10-2012,Denver,scattered clouds
04-10-2012,San Antonio,sky is clear
