Date,City,Value
01-10-2012,Eilat,30
01-10-2012,Vancouver,61
01-10-2012,Portland,57
01-10-2012,San Francisco,123
01-10-2012,Seattle,32
01-10-2012,Los Angeles,0
01-10-2012,San Diego,0
01-10-2012,Las Vegas,65
01-10-2012,Phoenix,8
01-10-2012,Albuquerque,360
01-10-2012,Denver,55
01-10-2012,San Antonio,57
01-10-2012,Dallas,334
01-10-2012,Houston,258
01-10-2012,Kansas City,63
01-10-2012,Minneapolis,328
01-10-2012,Saint Louis,34
01-10-2012,Chicago,0
01-10-2012,Nashville,70
01-10-2012,Indianapolis,40
01-10-2012,Atlanta,113
01-10-2012,Detroit,1
01-10-2012,Jacksonville,180
01-10-2012,Charlotte,73
01-10-2012,Miami,200
01-10-2012,Pittsburgh,0
01-10-2012,Toronto,197
01-10-2012,Philadelphia,275
01-10-2012,New York,261
01-10-2012,Montreal,236
01-10-2012,Boston,61
01-10-2012,Beersheba,157
01-10-2012,Tel Aviv District,257
01-10-2012,Haifa,336
01-10-2012,Nahariyya,336
01-10-2012,Jerusalem,329
02-10-2012,Vancouver,192
02-10-2012,Portland,221
02-10-2012,San Francisco,64
02-10-2012,Seattle,124
02-10-2012,Los Angeles,0
02-10-2012,San Diego,0
02-10-2012,Las Vegas,186
02-10-2012,Phoenix,4
02-10-2012,Albuquerque,360
02-10-2012,Denver,150
02-10-2012,San Antonio,240.5
02-10-2012,Dallas,316.5
02-10-2012,Houston,237.5
02-10-2012,Kansas City,199
02-10-2012,Minneapolis,323.5
02-10-2012,Saint Louis,17.5
02-10-2012,Chicago,0
02-10-2012,Nashville,70
02-10-2012,Indianapolis,40
02-10-2012,Atlanta,127.5
02-10-2012,Detroit,5.5
02-10-2012,Jacksonville,180
02-10-2012,Charlotte,80
02-10-2012,Miami,200
02-10-2012,Pittsburgh,0
02-10-2012,Toronto,44
02-10-2012,Philadelphia,287.5
02-10-2012,New York,267
02-10-2012,Montreal,258.5
02-10-2012,Boston,67.5
02-10-2012,Beersheba,157
02-10-2012,Tel Aviv District,139.5
02-10-2012,Eilat,30
02-10-2012,Haifa,336
02-10-2012,Nahariyya,336
02-10-2012,Jerusalem,329
03-10-2012,Vancouver,170
03-10-2012,Portland,310
03-10-2012,San Francisco,25
03-10-2012,Seattle,95
03-10-2012,Los Angeles,0
03-10-2012,San Diego,0
03-10-2012,Las Vegas,155
03-10-2012,Phoenix,135
03-10-2012,Albuquerque,102
03-10-2012,Denver,50
03-10-2012,San Antonio,319.5
03-10-2012,Dallas,330
03-10-2012,Houston,252.5
03-10-2012,Kansas City,323
03-10-2012,Minneapolis,180
03-10-2012,Saint Louis,335
03-10-2012,Chicago,40
03-10-2012,Nashville,270
03-10-2012,Indianapolis,40
03-10-2012,Atlanta,190
03-10-2012,Detroit,40
03-10-2012,Jacksonville,195
03-10-2012,Charlotte,130
03-10-2012,Miami,170
03-10-2012,Pittsburgh,90
03-10-2012,Toronto,10
03-10-2012,Philadelphia,81.5
03-10-2012,New York,95
03-10-2012,Montreal,231
03-10-2012,Boston,170
03-10-2012,Beersheba,135
03-10-2012,Tel Aviv District,247
03-10-2012,Eilat,45
03-10-2012,Haifa,269.5
03-10-2012,Nahariyya,279
03-10-2012,Jerusalem,277
04-10-2012,Vancouver,22
04-10-2012,Portland,252
04-10-2012,San Francisco,280
04-10-2012,Seattle,180
04-10-2012,Los Angeles,0
04-10-2012,San Diego,0
04-10-2012,Las Vegas,270
04-10-2012,Phoenix,85
04-10-2012,Albuquerque,130
04-10-2012,Denver,250
04-10-2012,San Antonio,80
04-10-2012,Dallas,105
04-10-2012,Houston,70
04-10-2012,Kansas City,0
04-10-2012,Minneapolis,145
04-10-2012,Saint Louis,170
04-10-2012,Chicago,170
04-10-2012,Nashville,153
04-10-2012,Indianapolis,180
04-10-2012,Atlanta,0
04-10-2012,Detroit,40
