Data,City,Value
01-10-2012,Eilat,8
01-10-2012,Vancouver,0
01-10-2012,Portland,0
01-10-2012,San Francisco,2
01-10-2012,Seattle,0
01-10-2012,Los Angeles,0
01-10-2012,San Diego,0
01-10-2012,Las Vegas,0
01-10-2012,Phoenix,2
01-10-2012,Albuquerque,4
01-10-2012,Denver,3
01-10-2012,San Antonio,0
01-10-2012,Dallas,3
01-10-2012,Houston,2
01-10-2012,Kansas City,0
01-10-2012,Minneapolis,3
01-10-2012,Saint Louis,3
01-10-2012,Chicago,0
01-10-2012,Nashville,4
01-10-2012,Indianapolis,4
01-10-2012,Atlanta,3
01-10-2012,Detroit,0
01-10-2012,Jacksonville,3
01-10-2012,Charlotte,4
01-10-2012,Miami,3
01-10-2012,Pittsburgh,0
01-10-2012,Toronto,3
01-10-2012,Philadelphia,3
01-10-2012,New York,6
01-10-2012,Montreal,3
01-10-2012,Boston,3
01-10-2012,Beersheba,2
01-10-2012,Tel Aviv District,0
01-10-2012,Haifa,2
01-10-2012,Nahariyya,2
01-10-2012,Jerusalem,2
02-10-2012,Vancouver,0
02-10-2012,Portland,1
02-10-2012,San Francisco,1
02-10-2012,Seattle,0
02-10-2012,Los Angeles,0
02-10-2012,San Diego,0
02-10-2012,Las Vegas,1
02-10-2012,Phoenix,1
02-10-2012,Albuquerque,4
02-10-2012,Denver,2
02-10-2012,San Antonio,1
02-10-2012,Dallas,3
02-10-2012,Houston,4
02-10-2012,Kansas City,1
02-10-2012,Minneapolis,4
02-10-2012,Saint Louis,2.5
02-10-2012,Chicago,0
02-10-2012,Nashville,4
02-10-2012,Indianapolis,4
02-10-2012,Atlanta,3
02-10-2012,Detroit,0
02-10-2012,Jacksonville,3
02-10-2012,Charlotte,4
02-10-2012,Miami,4
02-10-2012,Pittsburgh,0
02-10-2012,Toronto,3
02-10-2012,Philadelphia,2
02-10-2012,New York,5
02-10-2012,Montreal,1
02-10-2012,Boston,3
02-10-2012,Beersheba,2
02-10-2012,Tel Aviv District,2
02-10-2012,Eilat,9
02-10-2012,Haifa,2
02-10-2012,Nahariyya,2
02-10-2012,Jerusalem,2
03-10-2012,Vancouver,0
03-10-2012,Portland,3
03-10-2012,San Francisco,2
03-10-2012,Seattle,1
03-10-2012,Los Angeles,0
03-10-2012,San Diego,0
03-10-2012,Las Vegas,1
03-10-2012,Phoenix,1
03-10-2012,Albuquerque,2
03-10-2012,Denver,2
03-10-2012,San Antonio,1
03-10-2012,Dallas,3
03-10-2012,Houston,2
03-10-2012,Kansas City,2
03-10-2012,Minneapolis,3
03-10-2012,Saint Louis,3
03-10-2012,Chicago,4
03-10-2012,Nashville,1.5
03-10-2012,Indianapolis,5
03-10-2012,Atlanta,2
03-10-2012,Detroit,2
03-10-2012,Jacksonville,4
03-10-2012,Charlotte,3
03-10-2012,Miami,2
03-10-2012,Pittsburgh,2
03-10-2012,Toronto,3
03-10-2012,Philadelphia,2
03-10-2012,New York,3
03-10-2012,Montreal,1
03-10-2012,Boston,4.5
03-10-2012,Beersheba,1
03-10-2012,Tel Aviv District,2
03-10-2012,Eilat,5
03-10-2012,Haifa,5
03-10-2012,Nahariyya,5
03-10-2012,Jerusalem,2
04-10-2012,Vancouver,0
04-10-2012,Portland,3
04-10-2012,San Francisco,3
04-10-2012,Seattle,2.5
04-10-2012,Los Angeles,0
04-10-2012,San Diego,0
04-10-2012,Las Vegas,2
04-10-2012,Phoenix,1
04-10-2012,Albuquerque,2
04-10-2012,Denver,3
04-10-2012,San Antonio,0.5
04-10-2012,Dallas,0
04-10-2012,Houston,1.5
04-10-2012,Kansas City,0
04-10-2012,Minneapolis,2
04-10-2012,Saint Louis,1.5
04-10-2012,Chicago,3
04-10-2012,Nashville,0
04-10-2012,Indianapolis,4
04-10-2012,Atlanta,0
04-10-2012,Detroit,2
04-10-2012,Jacksonville,2
04-10-2012,Charlotte,1
04-10-2012,Miami,2
04-10-2012,Pittsburgh,2
04-10-2012,Toronto,3
04-10-2012,Philadelphia,2
04-10-2012,New York,2
04-10-2012,Montreal,1
04-10-2012,Boston,3
04-10-2012,Beersheba,1
04-10-2012,Tel Aviv District,2
04-10-2012,Eilat,5.5
04-10-2012,Haifa,3.5
04-10-2012,Nahariyya,3.5
04-10-2012,Jerusalem,3
05-10-2012,Vancouver,0
05-10-2012,Portland,3.5
05-10-2012,San Francisco,2
05-10-2012,Seattle,2.5
05-10-2012,Los Angeles,0
05-10-2012,San Diego,1.5
05-10-2012,Las Vegas,3
05-10-2012,Phoenix,1
05-10-2012,Albuquerque,2
05-10-2012,Denver,1.5
05-10-2012,San Antonio,4
05-10-2012,Dallas,4
05-10-2012,Houston,2
05-10-2012,Kansas City,3
05-10-2012,Minneapolis,7
05-10-2012,Saint Louis,0
05-10-2012,Chicago,3
05-10-2012,Nashville,1
05-10-2012,Indianapolis,3.5
05-10-2012,Atlanta,0
05-10-2012,Detroit,3
05-10-2012,Jacksonville,0.5
05-10-2012,Charlotte,0
05-10-2012,Miami,3
05-10-2012,Pittsburgh,1
05-10-2012,Toronto,3
05-10-2012,Philadelphia,0
05-10-2012,New York,1.5
05-10-2012,Montreal,2
05-10-2012,Boston,2
05-10-2012,Beersheba,1
05-10-2012,Tel Aviv District,2
05-10-2012,Eilat,6
05-10-2012,Haifa,2
05-10-2012,Nahariyya,2
05-10-2012,Jerusalem,1.5
06-10-2012,Vancouver,0
06-10-2012,Portland,3
06-10-2012,San Francisco,3
06-10-2012,Seattle,3
06-10-2012,Los Angeles,0
06-10-2012,San Diego,2
06-10-2012,Las Vegas,1
06-10-2012,Phoenix,0
06-10-2012,Albuquerque,3
06-10-2012,Denver,3
06-10-2012,San Antonio,3.5
06-10-2012,Dallas,4
06-10-2012,Houston,2
06-10-2012,Kansas City,2
06-10-2012,Minneapolis,8
06-10-2012,Saint Louis,4
06-10-2012,Chicago,4
06-10-2012,Nashville,1
06-10-2012,Indianapolis,3
06-10-2012,Atlanta,0
06-10-2012,Detroit,3
06-10-2012,Jacksonville,2
06-10-2012,Charlotte,0.5
06-10-2012,Miami,3.5
06-10-2012,Pittsburgh,3
06-10-2012,Toronto,3
06-10-2012,Philadelphia,2
06-10-2012,New York,2
06-10-2012,Montreal,2
06-10-2012,Boston,2
06-10-2012,Beersheba,2
06-10-2012,Tel Aviv District,2
06-10-2012,Eilat,5
06-10-2012,Haifa,2
06-10-2012,Nahariyya,2
06-10-2012,Jerusalem,1.5
07-10-2012,Vancouver,0
07-10-2012,Portland,4.5
07-10-2012,San Francisco,2.5
07-10-2012,Seattle,1
07-10-2012,Los Angeles,0
07-10-2012,San Diego,0
07-10-2012,Las Vegas,1
07-10-2012,Phoenix,0
07-10-2012,Albuquerque,2
07-10-2012,Denver,3
07-10-2012,San Antonio,1
07-10-2012,Dallas,4.5
07-10-2012,Houston,1
07-10-2012,Kansas City,2
07-10-2012,Minneapolis,5
07-10-2012,Saint Louis,3
07-10-2012,Chicago,4
07-10-2012,Nashville,3.5
07-10-2012,Indianapolis,3.5
07-10-2012,Atlanta,0
07-10-2012,Detroit,3
07-10-2012,Jacksonville,2
07-10-2012,Charlotte,1
07-10-2012,Miami,2.5
07-10-2012,Pittsburgh,4
07-10-2012,Toronto,3
07-10-2012,Philadelphia,3.5
07-10-2012,New York,4
07-10-2012,Montreal,3
07-10-2012,Boston,2
07-10-2012,Beersheba,1
07-10-2012,Tel Aviv District,2
07-10-2012,Eilat,5
07-10-2012,Haifa,1.5
07-10-2012,Nahariyya,1.5
07-10-2012,Jerusalem,1
08-10-2012,Vancouver,0
08-10-2012,Portland,2
08-10-2012,San Francisco,4
08-10-2012,Seattle,1
08-10-2012,Los Angeles,0
08-10-2012,San Diego,1
08-10-2012,Las Vegas,1.5
08-10-2012,Phoenix,0
08-10-2012,Albuquerque,1.5
08-10-2012,Denver,2
08-10-2012,San Antonio,4.5
08-10-2012,Dallas,3.5
08-10-2012,Houston,6
08-10-2012,Kansas City,1
08-10-2012,Minneapolis,1.5
08-10-2012,Saint Louis,3
08-10-2012,Chicago,3
08-10-2012,Nashville,2.5
08-10-2012,Indianapolis,2
08-10-2012,Atlanta,2
08-10-2012,Detroit,1.5
08-10-2012,Jacksonville,1
08-10-2012,Charlotte,3
08-10-2012,Miami,1
08-10-2012,Pittsburgh,1.5
08-10-2012,Toronto,3
08-10-2012,Philadelphia,1.5
08-10-2012,New York,2
08-10-2012,Montreal,0
08-10-2012,Boston,0
08-10-2012,Beersheba,2
08-10-2012,Tel Aviv District,2
08-10-2012,Eilat,3
08-10-2012,Haifa,2
