City,Country,Max_Latitude,Latitude_Category,weather_description
Vancouver,Canada,49.24966,"High Latitude",mist
Vancouver,Canada,49.24966,"High Latitude","broken clouds"
Vancouver,Canada,49.24966,"High Latitude","sky is clear"
Vancouver,Canada,49.24966,"High Latitude","light rain"
Vancouver,Canada,49.24966,"High Latitude","few clouds"
Vancouver,Canada,49.24966,"High Latitude",fog
Vancouver,Canada,49.24966,"High Latitude","overcast clouds"
Vancouver,Canada,49.24966,"High Latitude","light intensity shower rain"
Vancouver,Canada,49.24966,"High Latitude","moderate rain"
Vancouver,Canada,49.24966,"High Latitude","light intensity drizzle"
Vancouver,Canada,49.24966,"High Latitude","scattered clouds"
Vancouver,Canada,49.24966,"High Latitude","proximity shower rain"
Vancouver,Canada,49.24966,"High Latitude","heavy intensity rain"
Vancouver,Canada,49.24966,"High Latitude","heavy snow"
Vancouver,Canada,49.24966,"High Latitude","shower rain"
Vancouver,Canada,49.24966,"High Latitude",snow
Vancouver,Canada,49.24966,"High Latitude","heavy shower snow"
Vancouver,Canada,49.24966,"High Latitude","light intensity drizzle rain"
Vancouver,Canada,49.24966,"High Latitude","light snow"
Vancouver,Canada,49.24966,"High Latitude","very heavy rain"
Vancouver,Canada,49.24966,"High Latitude",smoke
Vancouver,Canada,49.24966,"High Latitude","thunderstorm with heavy rain"
Vancouver,Canada,49.24966,"High Latitude","light shower snow"
Vancouver,Canada,49.24966,"High Latitude",thunderstorm
Vancouver,Canada,49.24966,"High Latitude","thunderstorm with light rain"
Vancouver,Canada,49.24966,"High Latitude",haze
Vancouver,Canada,49.24966,"High Latitude",dust
Vancouver,Canada,49.24966,"High Latitude","volcanic ash"
Vancouver,Canada,49.24966,"High Latitude","heavy intensity shower rain"
Vancouver,Canada,49.24966,"High Latitude","thunderstorm with rain"
Vancouver,Canada,49.24966,"High Latitude",sleet
Vancouver,Canada,49.24966,"High Latitude","light rain and snow"
Vancouver,Canada,49.24966,"High Latitude",drizzle
Vancouver,Canada,49.24966,"High Latitude","shower snow"
Vancouver,Canada,49.24966,"High Latitude","light shower sleet"
Vancouver,Canada,49.24966,"High Latitude","proximity thunderstorm"
Vancouver,Canada,49.24966,"High Latitude","ragged thunderstorm"
Seattle,"United States",47.606209,"High Latitude","sky is clear"
Seattle,"United States",47.606209,"High Latitude","few clouds"
Seattle,"United States",47.606209,"High Latitude","scattered clouds"
Seattle,"United States",47.606209,"High Latitude","broken clouds"
Seattle,"United States",47.606209,"High Latitude","overcast clouds"
Seattle,"United States",47.606209,"High Latitude",mist
Seattle,"United States",47.606209,"High Latitude",haze
Seattle,"United States",47.606209,"High Latitude",fog
