City,Start_Date,End_Date,Duration_Days,Temperature_Category
Montreal,2012-12-01,2017-03-31,1582,"Extreme Cold"
Minneapolis,2012-12-01,2017-02-28,1551,"Extreme Cold"
Boston,2013-01-01,2016-01-31,1126,"Extreme Cold"
Toronto,2013-01-01,2017-03-31,1551,"Extreme Cold"
Pittsburgh,2013-01-01,2016-01-31,1126,"Extreme Cold"
Detroit,2013-01-01,2017-01-31,1492,"Extreme Cold"
Indianapolis,2013-01-01,2016-12-31,1461,"Extreme Cold"
Chicago,2013-01-01,2017-01-31,1492,"Extreme Cold"
Denver,2013-01-01,2017-01-31,1492,"Extreme Cold"
Albuquerque,2013-01-01,2015-01-31,761,"Extreme Cold"
"New York",2014-01-01,2015-02-28,424,"Extreme Cold"
Philadelphia,2014-01-01,2016-01-31,761,"Extreme Cold"
"Saint Louis",2014-02-01,2016-01-31,730,"Extreme Cold"
"Kansas City",2014-02-01,2016-12-31,1065,"Extreme Cold"
Nashville,2015-02-01,2015-02-28,28,"Extreme Cold"
Phoenix,2016-07-01,2016-07-31,31,"Extreme Heat"
Vancouver,2016-12-01,2016-12-31,31,"Extreme Cold"
