City,Country,date,temperature,weather_description,lower_threshold,upper_threshold
Albuquerque,"United States",2013-01-05,256.834,"sky is clear",257.61795784083097,319.57359682555216
Albuquerque,"United States",2013-01-05,256.453,"sky is clear",257.61795784083097,319.57359682555216
Denver,"United States",2013-01-13,256.91,mist,257.61795784083097,319.57359682555216
Denver,"United States",2013-01-13,255.66,fog,257.61795784083097,319.57359682555216
Denver,"United States",2013-01-13,256.5,fog,257.61795784083097,319.57359682555216
Denver,"United States",2013-01-13,252.942,"scattered clouds",257.61795784083097,319.57359682555216
Denver,"United States",2013-01-14,257.55,"broken clouds",257.61795784083097,319.57359682555216
Denver,"United States",2013-01-14,256.15,"scattered clouds",257.61795784083097,319.57359682555216
Denver,"United States",2013-01-14,257.15,"broken clouds",257.61795784083097,319.57359682555216
Denver,"United States",2013-01-14,253.88,"scattered clouds",257.61795784083097,319.57359682555216
Denver,"United States",2013-01-14,256.65,"broken clouds",257.61795784083097,319.57359682555216
Denver,"United States",2013-01-14,256.56,"scattered clouds",257.61795784083097,319.57359682555216
Denver,"United States",2013-01-14,255.91,"broken clouds",257.61795784083097,319.57359682555216
Denver,"United States",2013-01-14,255.55,"sky is clear",257.61795784083097,319.57359682555216
Denver,"United States",2013-01-14,254.61,"scattered clouds",257.61795784083097,319.57359682555216
Denver,"United States",2013-01-14,255.85,"broken clouds",257.61795784083097,319.57359682555216
Denver,"United States",2013-01-14,255.5,"broken clouds",257.61795784083097,319.57359682555216
Denver,"United States",2013-01-15,256.8,"sky is clear",257.61795784083097,319.57359682555216
Denver,"United States",2013-01-15,256.14,"heavy snow",257.61795784083097,319.57359682555216
Denver,"United States",2013-01-15,257.21,"heavy snow",257.61795784083097,319.57359682555216
Denver,"United States",2013-01-15,256.4,"heavy snow",257.61795784083097,319.57359682555216
Denver,"United States",2013-01-15,255.8,"sky is clear",257.61795784083097,319.57359682555216
Denver,"United States",2013-01-15,256.06,"heavy snow",257.61795784083097,319.57359682555216
Denver,"United States",2013-01-15,256.9,fog,257.61795784083097,319.57359682555216
Denver,"United States",2013-01-15,256.41,fog,257.61795784083097,319.57359682555216
Denver,"United States",2013-01-15,256.33,fog,257.61795784083097,319.57359682555216
Denver,"United States",2013-01-15,257.31,"broken clouds",257.61795784083097,319.57359682555216
Denver,"United States",2013-01-16,256.7,haze,257.61795784083097,319.57359682555216
Denver,"United States",2013-01-16,257.5,"sky is clear",257.61795784083097,319.57359682555216
Denver,"United States",2013-01-16,257.38,"sky is clear",257.61795784083097,319.57359682555216
Denver,"United States",2013-01-16,256.68,"sky is clear",257.61795784083097,319.57359682555216
Denver,"United States",2013-01-16,256.235,"sky is clear",257.61795784083097,319.57359682555216
Denver,"United States",2013-01-16,255.79,"sky is clear",257.61795784083097,319.57359682555216
Denver,"United States",2013-01-16,255.46,"sky is clear",257.61795784083097,319.57359682555216
Denver,"United States",2013-01-16,256.43,"sky is clear",257.61795784083097,319.57359682555216
Denver,"United States",2013-01-16,256.24,"sky is clear",257.61795784083097,319.57359682555216
Denver,"United States",2013-01-16,257.44,"broken clouds",257.61795784083097,319.57359682555216
Minneapolis,"United States",2012-12-12,257.01,"broken clouds",257.61795784083097,319.57359682555216
Minneapolis,"United States",2012-12-12,255.94,"broken clouds",257.61795784083097,319.57359682555216
Minneapolis,"United States",2012-12-12,256.23,"overcast clouds",257.61795784083097,319.57359682555216
Minneapolis,"United States",2012-12-12,256.06,haze,257.61795784083097,319.57359682555216
Minneapolis,"United States",2012-12-12,256.73,"overcast clouds",257.61795784083097,319.57359682555216
Minneapolis,"United States",2012-12-26,256.97,"sky is clear",257.61795784083097,319.57359682555216
Minneapolis,"United States",2012-12-26,256.22,"sky is clear",257.61795784083097,319.57359682555216
Minneapolis,"United States",2012-12-26,255.9,"sky is clear",257.61795784083097,319.57359682555216
Minneapolis,"United States",2012-12-26,255.5,"sky is clear",257.61795784083097,319.57359682555216
Minneapolis,"United States",2012-12-26,254.9,"sky is clear",257.61795784083097,319.57359682555216
Minneapolis,"United States",2012-12-26,254.58,"sky is clear",257.61795784083097,319.57359682555216
Minneapolis,"United States",2012-12-26,254.35,"sky is clear",257.61795784083097,319.57359682555216
Minneapolis,"United States",2012-12-26,253.87,"few clouds",257.61795784083097,319.57359682555216
Minneapolis,"United States",2012-12-26,254.84,"few clouds",257.61795784083097,319.57359682555216
Minneapolis,"United States",2012-12-26,255.85,"few clouds",257.61795784083097,319.57359682555216
Minneapolis,"United States",2012-12-26,256.4,"sky is clear",257.61795784083097,319.57359682555216
Minneapolis,"United States",2012-12-27,257.46,"broken clouds",257.61795784083097,319.57359682555216
