City,weather_description,avg_temperature,avg_humidity,avg_pressure,total_records
Vancouver,"sky is clear",301.44916740437264,53.887573964497044,1014.3609467455622,169
Vancouver,"broken clouds",300.82115384615383,53.69230769230769,1009.1538461538462,13
Vancouver,"few clouds",300.82626428146807,61.04255319148936,1016.6382978723404,47
Vancouver,"scattered clouds",301.44375,55.25,1015.75,8
Vancouver,haze,300.80642857142857,56.5,1014,14
Vancouver,"light rain",301.31,53,1015,1
Vancouver,smoke,301.161,52.3,1008.3,10
Vancouver,"overcast clouds",301.10333333333335,51.833333333333336,1011.5,6
Portland,"few clouds",303.1205364522098,34.3724279835391,1014.2901234567901,486
Portland,"sky is clear",302.8865883596765,35.877018633540374,1014.7664596273291,805
Portland,"overcast clouds",301.21846153846155,44.23076923076923,1010.6923076923077,13
Portland,"broken clouds",302.75197692540826,34.826530612244895,1012.9897959183673,98
Portland,"scattered clouds",302.8446809420281,34.177570093457945,1013.607476635514,107
Portland,"light rain",301.18444444444447,42.833333333333336,1013.5,18
Portland,haze,303.8103389830509,32.91525423728814,1011.6440677966102,59
Portland,smoke,304.3252380952382,36.65714285714286,1011.8571428571429,105
Portland,"heavy intensity rain",304.27,45,1014,1
Portland,dust,303.29333333333335,45.333333333333336,1012,6
"San Francisco","overcast clouds",301.60699999999997,77.9,1009.3,10
"San Francisco",haze,302.10774774774774,61.4054054054054,1011.027027027027,111
"San Francisco","broken clouds",302.2133810784112,72.54032258064517,1009.6129032258065,124
"San Francisco","sky is clear",302.5933479506351,44.33244680851064,1012.7074468085107,378
"San Francisco","few clouds",302.86398139045315,59.3671875,1009.6796875,128
"San Francisco","scattered clouds",302.4073560726876,71.36607142857143,1009.5535714285714,224
"San Francisco",mist,301.15857142857146,68.21428571428571,1009.6071428571429,28
"San Francisco","light rain",302.37210526315795,70.47368421052632,1011.0526315789474,38
"San Francisco","heavy intensity rain",302.28999999999996,67.5,1012.5,2
"San Francisco","thunderstorm with rain",301.78,84,1014.3333333333334,3
"San Francisco",thunderstorm,302.678275862069,70.51724137931035,1009.1724137931035,29
"San Francisco","thunderstorm with light rain",302.23249999999996,75,1010.375,8
"San Francisco","light intensity drizzle",302.39642857142854,72.5,1011.5714285714286,14
"San Francisco","moderate rain",305.3225,66.5,1009,8
"San Francisco","thunderstorm with heavy rain",302.2275,54.5,1011,4
"San Francisco","proximity thunderstorm with rain",303.0466666666667,81.66666666666667,1010.6666666666666,3
"San Francisco","proximity thunderstorm",302.65785714285715,73.71428571428571,1010.1428571428571,14
"San Francisco","proximity shower rain",303.24680851063835,68.65957446808511,1010.936170212766,47
"San Francisco","shower rain",302.27,70,1012,1
"San Francisco",smoke,305.4765671641792,47.92537313432836,1009.2537313432836,67
"San Francisco",drizzle,301.7128571428571,70.71428571428571,1010,7
Seattle,"sky is clear",301.9590784634857,34.86388384754991,1017.8532608695652,552
Seattle,"few clouds",301.4186099051111,37.148148148148145,1019,27
Seattle,"scattered clouds",302.5188253968096,35.61904761904762,1017.3333333333334,21
Seattle,"broken clouds",302.16330555558335,37.166666666666664,1023.3333333333334,12
Seattle,"light rain",301.3887142857143,32.285714285714285,1017.8571428571429,7
Seattle,"overcast clouds",300.271,40,1017,1
Seattle,haze,302.06190476190477,43.73809523809524,1012.1428571428571,42
Seattle,smoke,302.38625,40.675,1013.8,40
"Los Angeles","sky is clear",302.9213397567622,41.53560918187169,1011.2021151586368,3411
"Los Angeles",haze,302.62706140350883,54.74561403508772,1012.6798245614035,228
"Los Angeles","few clouds",302.0011833920672,41.403361344537814,1008.0598290598291,119
"Los Angeles",fog,301.8757142857143,39.857142857142854,1012.2857142857143,7
"Los Angeles","scattered clouds",301.85823282639325,46.29213483146067,1013.6067415730337,89
"Los Angeles","broken clouds",302.58283333332867,45.14492753623188,1015.1594202898551,70
"Los Angeles","light rain",302.95481578947374,48.973684210526315,1014.5,38
"Los Angeles","overcast clouds",301.72026041668755,46.375,1016.0625,16
"Los Angeles",smoke,304.3919230769231,51.753246753246756,1012.0769230769231,78
"Los Angeles","moderate rain",302.48451257177777,56,1014.8888888888889,9
"Los Angeles","thunderstorm with light rain",302.01,54.5,1014.5,2
"Los Angeles","proximity thunderstorm",304.7269230769231,46.61538461538461,1011.6923076923077,13
"Los Angeles",thunderstorm,305.00333333333333,37,1011,3
"Los Angeles",mist,301.80125,74.5,1012.5,8
"Los Angeles","heavy intensity rain",303.9766666666667,53,1011.3333333333334,3
"Los Angeles",squalls,307.89,32,1009,1
"Los Angeles",dust,303.459,29.63157894736842,1013.75,20
"San Diego","sky is clear",302.4091704733703,41.004574565416284,1015.3633904418394,1116
"San Diego","few clouds",302.6040028273912,41.12452830188679,1013.8264150943396,266
"San Diego","scattered clouds",302.26918595308604,47.28012048192771,1007.8614457831326,336
"San Diego",haze,302.2739552238807,56.832089552238806,1012.2350746268656,268
"San Diego",mist,302.275,70.7,1010.5,10
"San Diego",fog,300.24,62,1012.6666666666666,3
"San Diego","broken clouds",302.1607529054519,48.07344632768361,1013.1581920903955,177
"San Diego","overcast clouds",301.7679047619046,41.42857142857143,1004.3333333333334,21
"San Diego","moderate rain",300.14333333333326,44.333333333333336,1010,3
"San Diego","light rain",302.823375,57.25,1016.34375,32
"San Diego",smoke,304.645909090909,70.13636363636364,1020.6818181818181,22
"San Diego","heavy intensity rain",300.29,83,1019,1
"San Diego",thunderstorm,304.85,35,1009,2
"San Diego","light intensity drizzle",302.93,42,1014,1
"San Diego","thunderstorm with rain",300.46,46,1012,1
"San Diego","proximity thunderstorm",304.13,43,1007,1
"Las Vegas","sky is clear",306.20500828533926,16.934234139132272,1009.1220623987034,9879
"Las Vegas","proximity thunderstorm",306.5715837104074,22.661971830985916,1008.7058823529412,221
"Las Vegas","scattered clouds",306.0045840212736,21.567924528301887,1008.1090573012939,541
"Las Vegas",haze,305.31477611940306,20.363636363636363,1011.1343283582089,67
"Las Vegas","light rain",304.67256915661153,32.78321678321678,1013.013986013986,286
"Las Vegas","few clouds",306.25244254816613,22.635846372688476,1009.5188811188812,715
"Las Vegas","broken clouds",305.90520517841753,22.688,1007.6109660574413,383
"Las Vegas","moderate rain",304.0307631578946,36.28947368421053,1011.6842105263158,38
"Las Vegas","overcast clouds",305.3170469696908,24.047169811320753,1007.8363636363637,110
"Las Vegas","heavy intensity rain",303.90250000000003,50.75,1009.75,4
"Las Vegas","light intensity drizzle",304.6875,35,1012.0625,16
"Las Vegas",thunderstorm,306.43717391304347,27.23913043478261,1011.8260869565217,46
"Las Vegas",squalls,306.07800000000003,22.2,1008.8,5
"Las Vegas","thunderstorm with light rain",307.6671428571429,28.428571428571427,1010.7142857142857,7
"Las Vegas","thunderstorm with rain",309.56,54,1015,1
"Las Vegas","thunderstorm with heavy rain",304.2033333333333,49.333333333333336,1012.3333333333334,3
"Las Vegas",dust,310.89125,26.75,1009,8
Phoenix,"sky is clear",306.4157541019563,23.897965144581832,1008.3661186424382,10566
Phoenix,"few clouds",306.8092003058746,25.09053738317757,1007.5960761684939,1739
Phoenix,"scattered clouds",306.61188012189155,27.923390383048083,1007.1037277147487,1250
Phoenix,"broken clouds",305.61779827133245,28.235347985347985,1008.7663384064458,1131
Phoenix,haze,305.1611000000001,29.4,1007.97,100
Phoenix,"light intensity drizzle",304.97406250000006,38.096774193548384,1009.15625,32
Phoenix,"overcast clouds",304.92470388349506,33.19463087248322,1006.6112956810631,309
Phoenix,"light rain",304.3093256110236,45.91558441558441,1008.0259179265659,463
Phoenix,"moderate rain",303.94396103241064,51.776119402985074,1002.7835820895523,134
Phoenix,"thunderstorm with heavy rain",302.36,56.25,1008.25,4
Phoenix,"proximity thunderstorm",306.7293478260869,35.94565217391305,1006.5652173913044,92
Phoenix,dust,306.85677419354863,34.03225806451613,1008.8709677419355,62
Phoenix,thunderstorm,305.0211428571429,43.02857142857143,1008.3428571428572,35
Phoenix,"thunderstorm with light rain",302.91692307692307,55.38461538461539,1003.4615384615385,13
Phoenix,"heavy intensity rain",303.31083333332145,47,1007,28
Phoenix,mist,300.9,52,995,1
Phoenix,"proximity shower rain",305.3241269841269,43.12698412698413,1011.4920634920635,63
Phoenix,"very heavy rain",315.19,16,1013,1
Phoenix,"proximity sand/dust whirls",311.46000000000004,20.25,1010.25,4
Phoenix,"light intensity shower rain",301.725,58.5,1014.5,2
Phoenix,smoke,307.3,32.333333333333336,1013.3333333333334,3
Phoenix,"shower rain",307.74,34,1005.5,2
Phoenix,drizzle,304.51,27,1011,1
Albuquerque,"few clouds",303.1356096462673,21.259659969088098,1015.0815709969788,662
Albuquerque,"scattered clouds",303.3659266523667,21.308900523560208,1010.1783854166666,769
Albuquerque,"sky is clear",303.17422646404975,19.4822695035461,997.8253424657535,882
Albuquerque,"broken clouds",302.99108536090597,22.10952380952381,1012.3432601880878,638
Albuquerque,"overcast clouds",305.49253464728093,16.49462365591398,929.65625,96
Albuquerque,"light rain",302.2968717805158,25.03846153846154,1010.7861635220125,159
Albuquerque,dust,304.45142857142855,14.714285714285714,1015.1428571428571,7
Albuquerque,haze,304.9688235294118,20.375,1019.2941176470588,17
Albuquerque,"moderate rain",302.17871428571425,31.285714285714285,1018.4285714285714,7
Albuquerque,thunderstorm,303.0041379310345,24.620689655172413,1018.2758620689655,29
Albuquerque,"heavy intensity rain",302.17499999999995,17.5,1013.5,2
Albuquerque,squalls,301.645,19.5,1012,2
Albuquerque,"very heavy rain",302.3683333333334,22.333333333333332,1018.6666666666666,3
Albuquerque,"proximity shower rain",302.91264705882344,25.38235294117647,1019.7352941176471,34
Albuquerque,"proximity thunderstorm",303.0018367346937,25.346938775510203,1020.2448979591836,49
Albuquerque,"thunderstorm with light rain",302.125,30.5,1020.8333333333334,6
Albuquerque,"light intensity shower rain",300.65,23,1022,1
Albuquerque,"shower rain",301.185,19.5,1020.5,2
Albuquerque,"sand/dust whirls",308.89,12.5,1015.2,5
Albuquerque,smoke,302.1228571428571,23.785714285714285,1022.7857142857143,14
Albuquerque,"proximity thunderstorm with rain",301.67,35,1022,1
Albuquerque,"light intensity drizzle",303.59,23,1024,1
Denver,"broken clouds",302.9574633391253,21.81933842239186,991.7543859649123,400
Denver,"scattered clouds",302.73854732842756,23.68421052631579,1015.4986449864499,374
Denver,"few clouds",302.81872642168275,22.412987012987013,1015.7897435897436,394
Denver,"sky is clear",303.0331997221115,23.398757763975155,1006.7466174661747,814
Denver,"overcast clouds",302.5908571428571,21.45,970.9,42
Denver,"light rain",302.40118985172916,32.326388888888886,1018.1875,144
Denver,smoke,303.38064935064943,18.896103896103895,1020,77
Denver,thunderstorm,301.9956097560976,34.97560975609756,1022.170731707317,41
Denver,"thunderstorm with rain",301.805,30,1018.5,4
Denver,"moderate rain",301.85333333333335,40.44444444444444,1024.625,18
Denver,"thunderstorm with light rain",302.1423529411764,32.588235294117645,1017.2941176470588,17
Denver,dust,302.095,26.5,1024,2
Denver,"proximity shower rain",302.5754166666667,24.041666666666668,1022.75,24
Denver,haze,302.38142857142867,21.875,1018.8392857142857,56
Denver,"heavy intensity rain",303.06999999999994,29,1022.6666666666666,3
Denver,"light intensity drizzle",301.15000000000003,31,1017.3333333333334,3
Denver,"proximity thunderstorm",302.8148387096775,22.93548387096774,1020.483870967742,31
Denver,squalls,306.095,13.5,1021,2
Denver,"thunderstorm with heavy rain",302.315,26.5,1020.5,2
Denver,"ragged thunderstorm",300.91,25,1021,1
"San Antonio","sky is clear",304.04448912558513,48.247541684480545,1012.3774509803922,4692
"San Antonio","scattered clouds",304.2196726773024,51.250156739811914,1014.8789968652038,1595
"San Antonio","broken clouds",303.11850813751755,58.327166504381694,1014.1947419668938,1027
"San Antonio",mist,300.94090909090903,72.3030303030303,1015.5151515151515,33
"San Antonio","few clouds",304.72162740762786,50.63373253493014,1013.0798403193613,1002
"San Antonio","overcast clouds",301.70915707344017,65.1092715231788,1013.0132450331126,302
"San Antonio",haze,303.4917777777775,55.68888888888889,1010.9703703703703,405
"San Antonio","light rain",303.0601273649451,62.84444444444444,1017.1660130718955,765
"San Antonio","light intensity drizzle",303.76978417266196,53.79136690647482,1013.3093525179856,139
"San Antonio","thunderstorm with light rain",301.63800000000003,73.6,1012.6,5
"San Antonio",thunderstorm,304.0570588235294,56.588235294117645,1012.5588235294117,34
"San Antonio","moderate rain",302.09779351041163,71.44117647058823,1020.2279411764706,136
"San Antonio","proximity thunderstorm",304.2985483870967,57.70967741935484,1012.6290322580645,62
"San Antonio","heavy intensity rain",301.19181532850007,76.36363636363636,1017.7727272727273,22
"San Antonio",squalls,306.3,56,1004,1
"San Antonio","thunderstorm with heavy rain",303.194,76.4,1015.6,5
"San Antonio","thunderstorm with rain",302.66999999999996,79,1016,2
"San Antonio","very heavy rain",300.42575,94.75,1024.25,4
"San Antonio",smoke,305.52,55,1018,1
Dallas,"sky is clear",303.9416072544854,52.4608273630691,1014.7158040665435,4329
Dallas,"few clouds",304.47783103553,48.79739336492891,1014.5432464454976,1688
Dallas,"overcast clouds",302.3109075232378,59.71375464684015,1012.3940520446097,269
Dallas,"broken clouds",303.70736151325053,51.81764705882353,1014.5632352941177,1361
Dallas,"light rain",303.76338352753004,56.3382949932341,1015.8809201623816,739
Dallas,"scattered clouds",304.3351961140371,50.82472727272727,1014.6872727272727,1375
Dallas,haze,303.5539682539681,53.50396825396825,1014.281746031746,252
Dallas,"thunderstorm with light rain",303.83222222222224,60.22222222222222,1013.4444444444445,9
Dallas,"moderate rain",302.58728216396287,65.5925925925926,1019.2685185185185,216
Dallas,thunderstorm,304.2071264367816,56.14942528735632,1013.735632183908,87
Dallas,"heavy intensity rain",303.7575925925925,59.7037037037037,1015.6666666666666,27
Dallas,"thunderstorm with rain",301.11999999999995,75.66666666666667,1014,3
Dallas,"thunderstorm with heavy rain",303.75,61,1011,1
Dallas,smoke,303.95,63,1010,1
Dallas,dust,304.88,36,1014,1
Dallas,"proximity thunderstorm",304.2297916666667,54.979166666666664,1014.5208333333334,48
Dallas,"very heavy rain",300.71,70,1010.6666666666666,3
Dallas,mist,301.91692307692307,65.90384615384616,1012.0576923076923,52
Dallas,squalls,303.52,46,1013,1
Dallas,"thunderstorm with light drizzle",302.05,78,1017,1
Dallas,fog,301.27,55.5,1014.5,2
Dallas,"light intensity drizzle",302.1933333333333,56.333333333333336,1014.3333333333334,3
Dallas,drizzle,301.72,70,1020,1
Houston,"scattered clouds",303.52865364769644,61.06645569620253,1017.286075949367,1580
Houston,mist,300.98516483516465,79.18681318681318,1015.2600732600732,273
Houston,"few clouds",303.83593935908544,59.026490066225165,1016.8956953642385,1208
Houston,"sky is clear",303.3764576065018,59.044325683747246,1016.3300848789689,3181
Houston,"broken clouds",303.00131109973574,63.82124910265614,1016.8528356066045,1393
Houston,"overcast clouds",302.2625312998213,67.16151202749141,1017.0962199312714,291
Houston,haze,303.2805566600394,62.09940357852883,1013.6063618290259,503
Houston,"light rain",303.3980623375439,66.12446717817562,1018.5260017050298,1173
Houston,smoke,302.18444444444447,46.77777777777778,1015.3333333333334,9
Houston,thunderstorm,304.2572023809525,62.767857142857146,1015.0714285714286,168
Houston,"moderate rain",302.6971854631879,73.3479381443299,1020.25,388
Houston,"thunderstorm with light rain",303.1472222222222,61.611111111111114,1013.7222222222222,18
Houston,"proximity thunderstorm",303.6212804878049,65.6280487804878,1014.9512195121952,164
Houston,"very heavy rain",302.01800000000003,73.33333333333333,1016.2222222222222,9
Houston,"heavy intensity rain",302.432248374956,72.51470588235294,1016.25,68
Houston,fog,301.05400000000003,74.2,1014.8,5
Houston,"thunderstorm with heavy rain",303.36833333333334,70.33333333333333,1015.3333333333334,6
Houston,"thunderstorm with rain",302.278,76.2,1015,5
Houston,drizzle,300.85999999999996,78.66666666666667,1012,3
Houston,"proximity thunderstorm with rain",303.38,81,1014,2
Houston,"proximity shower rain",304.64116666666666,61.516666666666666,1015.7333333333333,60
Houston,"shower rain",301.65,76,1013.5,2
Houston,squalls,300.98,78,1011,1
Houston,"light intensity drizzle",301.27500000000003,72,1013.1666666666666,6
Houston,"proximity moderate rain",300.08,83,1009,1
Houston,"thunderstorm with light drizzle",303.7,59,1013.6666666666666,3
"Kansas City","sky is clear",303.06164666101614,54.34891216760677,1008.1454472199839,2482
"Kansas City","few clouds",302.86299973230456,57.38356164383562,1008.7109589041096,730
"Kansas City","scattered clouds",302.5517824884003,60.74392523364486,1008.618691588785,535
"Kansas City","broken clouds",302.36802136828607,62.40122199592668,1003.6191446028513,491
"Kansas City","shower rain",300.98,67.57142857142857,1009,7
"Kansas City","proximity shower rain",301.6162068965517,65.79310344827586,1006,29
"Kansas City","overcast clouds",301.63287239288314,66.16058394160584,998.1459854014598,137
"Kansas City","light intensity shower rain",301.19928571428574,71.57142857142857,1002.8571428571429,14
"Kansas City","light rain",302.58451785666807,59.81659388646288,1011.3056768558952,229
"Kansas City","heavy intensity rain",301.92540625,69.4375,1015.3125,16
"Kansas City",smoke,302.2514285714286,43.857142857142854,1011.4285714285714,7
"Kansas City",fog,303.6125,43.25,1013.5,4
"Kansas City",mist,301.0754545454546,76.27272727272727,1012,11
