City,avg_wind_speed,max_wind_speed,min_wind_speed,num_records,weather_descriptions
Albuquerque,9.872832369942197,22,6,173,"dust, heavy intensity rain, heavy snow, sleet, squalls, thunderstorm, thunderstorm with heavy rain, thunderstorm with light rain, thunderstorm with rain, very heavy rain"
"Las Vegas",9.430769230769231,17,6,65,"dust, heavy intensity drizzle, heavy intensity rain, squalls, thunderstorm, thunderstorm with heavy rain, thunderstorm with light rain, thunderstorm with rain"
Haifa,9.35064935064935,15,6,77,"dust, heavy intensity rain, thunderstorm with rain"
Nahariyya,8.67605633802817,14,6,71,"dust, heavy intensity rain, thunderstorm with rain"
Boston,8.62396694214876,15,6,242,"dust, heavy intensity drizzle, heavy intensity rain, heavy snow, squalls, thunderstorm, thunderstorm with heavy rain, thunderstorm with light rain, very heavy rain"
Phoenix,8.545454545454545,17,6,55,"dust, heavy intensity rain, thunderstorm, thunderstorm with heavy rain, thunderstorm with light rain, thunderstorm with rain"
Montreal,8.381067961165048,19,6,412,"freezing rain, heavy intensity rain, heavy intensity shower rain, heavy shower snow, heavy snow, thunderstorm, thunderstorm with heavy rain, thunderstorm with light rain, thunderstorm with rain"
Toronto,8.216374269005849,18,6,513,"freezing rain, heavy intensity rain, heavy intensity shower rain, heavy shower snow, heavy snow, squalls, thunderstorm, thunderstorm with heavy rain, thunderstorm with light rain, thunderstorm with rain, very heavy rain"
"Tel Aviv District",8.153153153153154,17,6,111,"dust, heavy intensity rain, heavy intensity shower rain, thunderstorm, thunderstorm with heavy rain, thunderstorm with light rain, thunderstorm with rain"
Denver,8.04,15,6,125,"dust, heavy intensity drizzle, heavy intensity rain, heavy snow, squalls, thunderstorm, thunderstorm with heavy rain, thunderstorm with light rain, thunderstorm with rain"
"Los Angeles",7.818181818181818,14,6,11,"dust, squalls, thunderstorm, thunderstorm with light rain, thunderstorm with rain"
Philadelphia,7.818181818181818,16,6,88,"freezing rain, heavy intensity rain, heavy snow, squalls, thunderstorm, thunderstorm with heavy rain, thunderstorm with light rain, thunderstorm with rain, very heavy rain"
"San Francisco",7.7637795275590555,16,6,127,"heavy intensity drizzle, heavy intensity rain, squalls, thunderstorm, thunderstorm with heavy rain, thunderstorm with light rain, thunderstorm with rain, very heavy rain"
Chicago,7.731958762886598,13,6,291,"dust, freezing rain, heavy intensity drizzle, heavy intensity rain, heavy snow, squalls, thunderstorm, thunderstorm with heavy rain, thunderstorm with light rain, thunderstorm with rain, very heavy rain"
