weather_description,wind_speed,wind_direction,event_severity,event_count
mist,0,0,Low,213
"broken clouds",0,6,Normal,1
"broken clouds",0,20,Normal,19
"broken clouds",0,34,Normal,5
"broken clouds",0,47,Normal,2
"broken clouds",0,61,Normal,3
"broken clouds",0,75,Normal,7
"broken clouds",0,89,Normal,4
"broken clouds",0,102,Normal,3
"broken clouds",0,116,Normal,3
"broken clouds",0,130,Normal,11
"broken clouds",0,144,Normal,2
"broken clouds",0,157,Normal,4
"broken clouds",0,171,Normal,6
"broken clouds",0,185,Normal,1
"broken clouds",0,199,Normal,2
"broken clouds",0,213,Normal,5
"broken clouds",0,226,Normal,6
"broken clouds",0,240,Normal,10
"broken clouds",0,254,Normal,5
"broken clouds",0,268,Normal,14
"broken clouds",0,281,Normal,4
"broken clouds",0,295,Normal,5
"broken clouds",0,309,Normal,7
"broken clouds",0,323,Normal,2
"sky is clear",0,337,Normal,34
"sky is clear",0,346,Normal,26
"sky is clear",0,157,Normal,34
"sky is clear",0,45,Normal,64
"sky is clear",0,140,Normal,20
"light rain",0,110,Normal,6
"sky is clear",0,0,Normal,3306
"sky is clear",0,130,Normal,21
"sky is clear",1,202,Normal,73
"sky is clear",0,40,Normal,17
"sky is clear",11,320,Normal,1
"sky is clear",0,20,Normal,40
"sky is clear",0,202,Normal,33
"sky is clear",0,225,Normal,76
"sky is clear",0,180,Normal,99
"sky is clear",0,110,Normal,25
"sky is clear",0,172,Normal,15
"sky is clear",0,164,Normal,8
"sky is clear",1,157,Normal,70
"few clouds",0,168,Normal,5
"sky is clear",0,274,Normal,40
"sky is clear",0,240,Normal,32
"sky is clear",1,10,Normal,205
"sky is clear",0,10,Normal,46
"sky is clear",1,40,Normal,136
"sky is clear",0,30,Normal,30
"sky is clear",0,22,Normal,48
"sky is clear",1,22,Normal,89
"sky is clear",3,22,Normal,46
"sky is clear",0,270,Normal,64
"broken clouds",0,0,Normal,271
"sky is clear",1,200,Normal,148
"sky is clear",0,190,Normal,26
"sky is clear",0,280,Normal,32
"sky is clear",1,20,Normal,163
"sky is clear",2,360,Normal,660
"sky is clear",1,15,Normal,88
"sky is clear",0,360,Normal,25
"sky is clear",1,337,Normal,175
"sky is clear",1,45,Normal,109
"sky is clear",0,11,Normal,16
"sky is clear",2,337,Normal,202
"sky is clear",2,10,Normal,772
"sky is clear",1,360,Normal,136
"sky is clear",2,22,Normal,36
"sky is clear",1,18,Normal,58
"sky is clear",1,14,Normal,83
"few clouds",0,0,Normal,725
"sky is clear",0,220,Normal,32
"sky is clear",0,200,Normal,15
"sky is clear",4,330,Normal,525
"sky is clear",0,210,Normal,25
"sky is clear",0,230,Normal,526
"sky is clear",0,5,Normal,26
fog,0,30,Low,2
fog,0,40,Low,2
"sky is clear",1,250,Normal,208
"sky is clear",2,240,Normal,270
"sky is clear",2,290,Normal,334
"sky is clear",2,250,Normal,256
"sky is clear",2,300,Normal,381
"sky is clear",3,260,Normal,196
"sky is clear",1,290,Normal,339
"sky is clear",2,80,Normal,514
"sky is clear",0,50,Normal,27
"sky is clear",1,90,Normal,229
"sky is clear",1,80,Normal,233
"sky is clear",2,120,Normal,330
"sky is clear",1,30,Normal,145
"sky is clear",4,110,Normal,123
"overcast clouds",5,120,Normal,35
"sky is clear",4,100,Normal,166
"sky is clear",4,130,Normal,104
"sky is clear",3,140,Normal,176
"sky is clear",2,166,Normal,24
"sky is clear",1,192,Normal,50
"sky is clear",3,146,Normal,18
"sky is clear",2,50,Normal,345
"sky is clear",1,100,Normal,196
mist,1,130,Low,37
"sky is clear",1,150,Normal,90
"sky is clear",1,171,Normal,63
"sky is clear",1,191,Normal,81
"sky is clear",1,212,Normal,46
mist,0,70,Low,5
mist,0,290,Low,2
mist,0,310,Low,2
mist,1,150,Low,22
mist,0,100,Low,6
mist,2,140,Low,54
"sky is clear",1,110,Normal,149
"sky is clear",1,160,Normal,99
"overcast clouds",0,232,Normal,1
"overcast clouds",0,224,Normal,7
"overcast clouds",1,216,Normal,18
"overcast clouds",1,208,Normal,11
"sky is clear",1,201,Normal,100
"sky is clear",3,150,Normal,167
"sky is clear",0,170,Normal,15
"sky is clear",5,130,Normal,77
"light intensity shower rain",0,100,Normal,3
"light intensity shower rain",0,170,Normal,2
mist,2,80,Low,101
"light rain",3,80,Normal,76
mist,3,80,Low,112
mist,5,90,Low,68
"light intensity shower rain",2,90,Normal,24
"light intensity shower rain",1,90,Normal,9
"light intensity shower rain",2,80,Normal,22
"light intensity shower rain",1,70,Normal,11
"light intensity shower rain",2,70,Normal,22
"sky is clear",4,90,Normal,146
mist,1,70,Low,51
mist,2,90,Low,73
"sky is clear",2,90,Normal,527
"light rain",2,80,Normal,71
"light intensity shower rain",2,310,Normal,14
"light rain",1,70,Normal,52
mist,2,70,Low,89
"sky is clear",1,70,Normal,188
"moderate rain",2,90,Normal,14
mist,3,90,Low,96
"sky is clear",5,100,Normal,107
"overcast clouds",5,110,Normal,45
"sky is clear",7,130,Normal,11
"sky is clear",7,140,Normal,4
"sky is clear",9,120,Normal,11
"light intensity shower rain",3,80,Normal,20
mist,3,70,Low,81
"sky is clear",2,157,Normal,44
"sky is clear",6,150,Normal,8
"sky is clear",7,150,Normal,11
"sky is clear",10,160,Normal,3
"light rain",7,140,Normal,14
"overcast clouds",4,120,Normal,37
"light intensity shower rain",1,60,Normal,17
"light intensity shower rain",7,170,Normal,8
"overcast clouds",6,160,Normal,30
"sky is clear",5,160,Normal,51
"overcast clouds",5,150,Normal,39
"sky is clear",0,330,Normal,25
"sky is clear",1,180,Normal,198
fog,1,30,Low,13
fog,1,360,Low,16
fog,0,0,Low,58
"light intensity shower rain",1,10,Normal,6
mist,4,120,Low,28
mist,4,110,Low,47
"sky is clear",8,110,Normal,41
"broken clouds",7,130,Normal,5
"light intensity shower rain",4,90,Normal,35
"light rain",2,40,Normal,26
"moderate rain",2,80,Normal,16
"sky is clear",7,90,Normal,15
"sky is clear",7,190,Normal,19
"light rain",7,90,Normal,18
"overcast clouds",6,90,Normal,47
"sky is clear",5,200,Normal,119
"sky is clear",5,220,Normal,78
