City,weather_description,humidity_pressure_correlation
Vancouver,"overcast clouds",0.26619831894368223
Vancouver,"broken clouds",0.244984301001586
Vancouver,"sky is clear",0.2120808661652637
Vancouver,"scattered clouds",0.22931336530979998
Vancouver,"few clouds",0.22330464946433584
Vancouver,"proximity shower rain",0.0682011735107055
Vancouver,"light intensity shower rain",0.2065989933928485
Vancouver,fog,0.22189961371979014
Vancouver,"light rain",0.2210096713224376
Vancouver,mist,0.2059687577381315
Vancouver,"moderate rain",0.07534160306308205
Vancouver,"heavy intensity rain",0.19093491410750346
Vancouver,"very heavy rain",0.6175306132940698
Vancouver,"light snow",-0.06999097532297001
Vancouver,"light intensity drizzle",0.4657191456483124
Vancouver,"heavy snow",0.21913921832201702
Vancouver,"heavy shower snow",0.5998947774659191
Vancouver,"shower rain",-0.27394854834004495
Vancouver,"light intensity drizzle rain",-0.056027367171293835
Vancouver,snow,0.018986213914768048
Montreal,"scattered clouds",0.24447527549466985
Montreal,"broken clouds",0.20382107445782793
Montreal,mist,0.5933005299894785
Montreal,"moderate rain",0.3511042572109809
Montreal,"light rain",0.4241178697649963
Montreal,"light intensity shower rain",0.4845060073120063
Montreal,"overcast clouds",0.21994254607104335
Montreal,"sky is clear",0.6840414538540823
Montreal,"few clouds",0.19340124043909404
Montreal,"proximity shower rain",0.4138414399724415
Montreal,haze,0.38578829317026736
Montreal,fog,0.5805953939368657
Montreal,smoke,0.5214980176988523
Montreal,"very heavy rain",-0.2678892949686179
Montreal,"light intensity drizzle",0.7136980379899864
Montreal,"thunderstorm with light rain",0.009204810613010216
Montreal,"thunderstorm with rain",-0.09220912084270542
Montreal,"heavy intensity rain",0.0018172716260381606
Montreal,"light intensity drizzle rain",-0.00042787217470588044
Montreal,"proximity thunderstorm",-0.13934250371970203
Montreal,"heavy shower snow",0.6106345588119799
Montreal,"light shower sleet",0.797754037245398
Montreal,"light rain and snow",0.23977910777473888
Montreal,"freezing rain",0.6557632539969137
Montreal,"heavy snow",0.5512991040321711
Montreal,snow,0.54418485426788
Montreal,"light snow",-0.25026261793069227
Montreal,"shower snow",0.48846785218709865
Montreal,"light shower snow",-0.1592603011075071
Montreal,sand,-1
Montreal,"shower rain",0.11969522333971384
Montreal,thunderstorm,-0.2766974092737518
Montreal,"thunderstorm with heavy rain",-0.613451858241576
Montreal,drizzle,0.6194815330055894
Indianapolis,"scattered clouds",0.11243084736875646
Indianapolis,"few clouds",-0.00010966753151945953
