City,Month,Max_Temperature,Min_Temperature,Temperature_Fluctuation
"Kansas City",01,308.15,249.556333333,58.59366666699998
"Kansas City",12,307.15,250.8,56.349999999999966
Denver,11,299.15,247.727666667,51.42233333299998
Indianapolis,02,294.91,244.866333333,50.043666667000025
Denver,10,313.75,263.745,50.004999999999995
Denver,03,299.87,251.278666667,48.591333332999994
Detroit,02,291.25,243.483333333,47.76666666700001
Pittsburgh,02,297.15,249.422666667,47.72733333299999
"Kansas City",02,299.65,251.984666667,47.66533333299998
"Kansas City",11,306.15,258.65,47.5
Denver,02,298.14,250.89,47.25
Minneapolis,03,293.65,246.52,47.12999999999997
Chicago,03,299.96,253.926,46.03399999999999
"Saint Louis",02,297.65,251.668,45.98199999999997
"Saint Louis",03,301.65,255.672666667,45.97733333299999
Minneapolis,11,295.15,249.471333333,45.67866666699999
Denver,12,293.91,248.432666667,45.47733333300002
Philadelphia,02,295.8,250.39,45.410000000000025
Boston,02,294.91,249.54,45.37000000000003
Vancouver,11,290.22,245.15,45.07000000000002
Indianapolis,03,296.25,251.393666667,44.85633333300001
Minneapolis,02,288.86,244.188333333,44.67166666700001
Chicago,12,294.33,249.94,44.389999999999986
Detroit,03,296.82,252.602,44.21799999999999
Charlotte,02,299.7,255.658333333,44.04166666699999
"New York",02,294.75,250.774,43.976
Indianapolis,01,291.8375,248.268333333,43.56916666699999
Nashville,03,303.15,259.627,43.52299999999997
Philadelphia,03,299.51,256.224333333,43.28566666699999
Toronto,02,290.56,247.3,43.25999999999999
Chicago,02,292.37,249.184,43.18600000000001
"Kansas City",03,303.14,259.965,43.17500000000001
Nashville,02,299.41,256.326333333,43.083666667000045
Dallas,03,304.46,261.610333333,42.84966666699995
"Saint Louis",01,293.14,251.05,42.089999999999975
"New York",03,297.93,255.971,41.959
Pittsburgh,03,296.21,254.318666667,41.89133333299998
Pittsburgh,01,292.34,250.52,41.819999999999965
Minneapolis,12,285.11,243.39,41.72000000000003
"Saint Louis",11,301.59,260.403666667,41.18633333299999
Montreal,12,289.94,249.09,40.849999999999994
Montreal,02,283.77,243.3,40.46999999999997
Indianapolis,11,298.75,258.310666667,40.43933333299998
Nashville,11,303.41,263.435,39.97500000000002
Denver,01,290.3,250.47,39.83000000000001
Indianapolis,12,294.09,254.48,39.609999999999985
Chicago,01,288.35,248.89,39.460000000000036
Dallas,11,306.4,267.046666667,39.353333332999966
"Saint Louis",12,295.9,256.58,39.31999999999999
"Las Vegas",10,309.85,270.599,39.25100000000003
"Las Vegas",05,313.17,273.930666667,39.23933333299999
Dallas,02,303.6,264.38,39.22000000000003
Denver,04,298.44,259.27,39.170000000000016
"Kansas City",10,307.15,268.406333333,38.74366666699996
Nashville,01,294.92,256.401666667,38.518333333000044
"Las Vegas",06,318.64,280.37,38.26999999999998
Detroit,01,287.53,249.462666667,38.067333332999965
Montreal,01,282.193,244.15,38.04299999999998
"Las Vegas",04,309.25,271.587333333,37.662666666999996
"Los Angeles",10,312.52,275.012,37.50799999999998
Phoenix,10,313.16,275.815333333,37.34466666700001
Denver,05,303.16,265.884,37.27600000000001
"San Antonio",03,307.34,270.16,37.17999999999995
Atlanta,11,301.37,264.322666667,37.04733333299998
"Los Angeles",11,306.88,269.899,36.980999999999995
Albuquerque,05,306.23,269.26,36.97000000000003
Pittsburgh,11,298.16,261.218,36.94200000000001
Beersheba,11,312.59,275.68,36.90999999999997
Atlanta,01,296.4,259.5,36.89999999999998
Albuquerque,01,291.88,255.042333333,36.83766666700001
"San Antonio",01,301.87,265.05,36.81999999999999
Boston,03,296.38,259.57,36.81
Pittsburgh,04,302.27,265.52,36.75
Toronto,03,290.29,253.56,36.73000000000002
Denver,09,307.81,271.170333333,36.63966666700003
"San Diego",01,302.15,265.783333333,36.366666667000004
"Kansas City",09,310.97,274.703666667,36.266333333000034
Boston,04,302.44,266.18,36.25999999999999
Chicago,11,297.55,261.35,36.19999999999999
Dallas,12,300.49,264.36,36.129999999999995
Charlotte,01,296.89,260.76,36.129999999999995
Atlanta,02,298.84,262.725,36.11499999999995
Vancouver,12,286.23,250.15,36.08000000000001
Beersheba,12,309.26,273.203,36.057000000000016
Charlotte,03,302.24,266.24,36
Montreal,03,286.7,250.77,35.92999999999998
Pittsburgh,12,292.9,257.15,35.75
"Las Vegas",03,304.15,268.476333333,35.673666666999964
"Saint Louis",10,304.57,268.915333333,35.654666667000015
Philadelphia,04,303.73,268.14,35.59000000000003
Albuquerque,02,296.92,261.3435,35.57650000000001
Dallas,01,298.78,263.21,35.56999999999999
Detroit,11,297.48,262.002333333,35.477666666999994
Minneapolis,01,277.72,242.336666667,35.383333333000024
"Las Vegas",09,313.47,278.139,35.33100000000002
"San Antonio",11,305.65,270.43,35.21999999999997
Minneapolis,05,308.24,273.04,35.19999999999999
Charlotte,11,299.79,264.689333333,35.10066666700004
"New York",01,290.29,255.2,35.09000000000003
Albuquerque,10,301.59,266.524,35.065999999999974
"Las Vegas",01,295.588,260.561333333,35.02666666700003
"Los Angeles",01,301.4,266.503666667,34.89633333299997
Albuquerque,03,299.37,264.484666667,34.885333333000005
"San Antonio",02,305.54,270.682333333,34.857666667000046
Minneapolis,04,299.4,264.62,34.77999999999997
Boston,12,292.47,257.71,34.76000000000005
Phoenix,06,321.22,286.511,34.709
"Las Vegas",11,301.14,266.432,34.70799999999997
Detroit,04,300.64,266,34.639999999999986
Montreal,04,297.5,262.9,34.60000000000002
Philadelphia,11,296.97,262.512,34.45800000000003
"San Diego",10,311.24,276.844666667,34.395333332999996
Philadelphia,01,291.03,256.65,34.379999999999995
"Las Vegas",12,295.588,261.239666667,34.34833333300003
Beersheba,10,314.82,280.547,34.27299999999997
Houston,03,304.79,270.55,34.24000000000001
Dallas,10,308.33,274.22,34.10999999999996
Montreal,11,292.17,258.09,34.08000000000004
Beersheba,02,307.04,272.992,34.048
Albuquerque,09,305.91,271.912,33.99800000000005
Nashville,10,303.327,269.34,33.98700000000002
"San Diego",06,313.36,279.42,33.94
"San Diego",11,307.96,274.162,33.798
Atlanta,03,302.82,269.04,33.77999999999997
Phoenix,01,299.763,266.059,33.70399999999995
Phoenix,04,310.8,277.150666667,33.649333333000016
Minneapolis,09,306.58,272.953666667,33.62633333299999
Eilat,05,317.12,283.5,33.620000000000005
Phoenix,12,299.763,266.144333333,33.61866666699996
"San Antonio",10,308.2,274.59,33.610000000000014
Nahariyya,04,310.52,276.984,33.536
Charlotte,10,303.69,270.2,33.49000000000001
Nashville,12,297,263.64,33.360000000000014
"San Diego",12,301.08,267.721,33.35899999999998
"New York",04,302.29,269.07,33.22000000000003
Houston,01,300.715,267.57,33.14499999999998
"Kansas City",04,304.187333333,271.06,33.127333333000024
Indianapolis,10,302.41,269.356333333,33.053666667000016
Albuquerque,11,295.15,262.128666667,33.02133333299997
"Los Angeles",12,301.113,268.221,32.891999999999996
Jerusalem,10,314.43,281.547,32.88299999999998
Minneapolis,10,301.73,268.91,32.81999999999999
Houston,11,304.15,271.352,32.798
Eilat,10,313.15,280.368,32.78199999999998
"Los Angeles",06,315.47,282.688333333,32.781666667000025
Haifa,09,320.93,288.15,32.78000000000003
Denver,06,310.12,277.4,32.72000000000003
Nahariyya,05,313.15,280.509,32.64099999999996
Nashville,04,304.88,272.24,32.639999999999986
Albuquerque,06,312.71,280.08,32.629999999999995
"Kansas City",05,306.46,273.85,32.60999999999996
Phoenix,11,305.69,273.132333333,32.55766666699998
Eilat,06,319.48,286.933,32.547000000000025
Jacksonville,01,301.15,268.61,32.539999999999964
Indianapolis,04,301.67,269.21,32.460000000000036
Eilat,08,319.15,286.768,32.382000000000005
Haifa,10,316.48,284.15,32.33000000000004
Houston,02,303.06,270.781666667,32.27833333299998
Montreal,10,298.41,266.133333333,32.27666666700003
Boston,01,288.48,256.22,32.25999999999999
Eilat,07,320.15,287.896,32.25399999999996
Boston,11,296.22,263.97,32.25
Detroit,12,289.26,257.02,32.24000000000001
Boston,05,306.7,274.47,32.22999999999996
"San Diego",05,309.47,277.246333333,32.22366666700003
Chicago,04,300.88,268.68,32.19999999999999
"San Antonio",12,301.69,269.54,32.14999999999998
"San Antonio",04,308.83,276.69,32.139999999999986
Charlotte,04,303.2,271.15,32.05000000000001
Albuquerque,04,299.97,267.967333333,32.00266666700003
Eilat,04,313.15,281.15,32
Jerusalem,09,317.04,285.047,31.992999999999995
Indianapolis,09,308.71,276.902,31.807999999999993
"Tel Aviv District",09,320.93,289.166666667,31.76333333299999
"Tel Aviv District",02,302.78,271.049,31.730999999999995
Phoenix,09,315.95,284.227333333,31.722666667
"Los Angeles",05,310.24,278.519666667,31.720333332999985
Toronto,01,286.59,254.88,31.70999999999998
Jacksonville,03,304.14,272.44,31.69999999999999
Beersheba,04,310.37,278.684,31.68599999999998
"Las Vegas",08,316.69,285.131,31.559000000000026
Toronto,11,292.59,261.15,31.439999999999998
Phoenix,05,314.1,282.747333333,31.35266666700005
"Saint Louis",04,302.72,271.43,31.29000000000002
Pittsburgh,05,303.854,272.57,31.283999999999992
"Saint Louis",09,309.43,278.175666667,31.254333333000034
Montreal,09,304.83,273.6,31.22999999999996
