Date,City,Weather_Description,Temperature,Humidity,Pressure,Wind_Speed
2012-10-02,Atlanta,"heavy intensity rain",295.14,94,1005,2
2012-10-02,Atlanta,"heavy intensity rain",294.38,94,1006,4
2012-10-02,"San Antonio","thunderstorm with heavy rain",292.81,88,1013,1
2012-10-02,"San Antonio",thunderstorm,295.99,57,1012,1
2012-10-02,Miami,"thunderstorm with heavy rain",299.72,88,1010,0
2012-10-02,Atlanta,"heavy intensity rain",295.46,94,1005,3
2012-10-03,Indianapolis,"heavy intensity rain",285.15,93,1006,5
2012-10-03,Jacksonville,"proximity thunderstorm",299.02,83,1007,3
2012-10-03,Miami,"heavy intensity rain",297.43,88,1013,2
2012-10-03,Miami,"heavy intensity rain",298.27,88,1011,5
2012-10-03,Indianapolis,"heavy intensity rain",284.86,93,1007,5
2012-10-03,Miami,"heavy intensity rain",297.1,88,1012,2
2012-10-03,"San Antonio","thunderstorm with rain",292.78,88,1013,0
2012-10-04,Jacksonville,"heavy intensity rain",298.33,88,1020,4
2012-10-05,Philadelphia,"heavy intensity rain",292.28,94,1020,2
2012-10-05,Miami,"proximity thunderstorm",301.17,79,1021,3
2012-10-05,Jacksonville,thunderstorm,296.56,88,1021,1
2012-10-05,Jacksonville,thunderstorm,297.6,88,1021,2
2012-10-05,Jacksonville,"thunderstorm with light rain",300.54,78,1021,6
2012-10-05,Jacksonville,"heavy intensity rain",303.52,83,1022,5
2012-10-05,Jacksonville,"proximity thunderstorm",296.94,88,1022,1
2012-10-06,"Saint Louis","proximity thunderstorm",283.23,87,1025,3
2012-10-06,Denver,"heavy snow",274.26,64,1022,7
2012-10-06,"Saint Louis","heavy intensity rain",282.14,87,1024,4
2012-10-06,Indianapolis,"proximity thunderstorm",282.33,93,1022,3
2012-10-06,Indianapolis,thunderstorm,282.91,87,1021,0
2012-10-06,Jacksonville,"thunderstorm with light rain",300.38,74,1017,5
2012-10-06,Denver,"heavy snow",273.07,NULL,1022,6
2012-10-06,Jacksonville,thunderstorm,300.27,74,1017,4
2012-10-06,Jacksonville,"thunderstorm with light rain",300.68,78,1018,5
2012-10-07,Jacksonville,"proximity thunderstorm",300.53,69,1015,6
2012-10-07,Jacksonville,thunderstorm,300.49,70,1015,3
2012-10-07,"San Francisco","proximity thunderstorm",287.63,82,1019,3
2012-10-07,Denver,"heavy snow",273.55,80,1025,5
2012-10-07,"Saint Louis","proximity thunderstorm",280.47,81,1022,0
2012-10-07,Jacksonville,thunderstorm,300.64,74,1014,3
2012-10-07,Denver,"heavy snow",273.87,74,1025,4
2012-10-07,Jacksonville,"heavy intensity rain",301.52,66,1016,3
2012-10-08,"New York","heavy snow",283.03,54,1017,5
2012-10-08,"New York","heavy snow",284.24,62,1016,4
2012-10-08,Miami,"proximity thunderstorm",299.26,83,1014,1
2012-10-08,"New York","heavy snow",284.7,62,1015,3
2012-10-08,Charlotte,"proximity thunderstorm",286.3,82,1015,2
2012-10-08,Miami,"thunderstorm with light rain",300.16,74,1014,3
2012-10-08,Charlotte,"proximity thunderstorm",289.39,88,1016,2
2012-10-08,Charlotte,"proximity thunderstorm",289.82,88,1015,5
2012-10-08,Charlotte,"heavy intensity rain",294.58,60,1014,0
2012-10-08,Jacksonville,thunderstorm,297.34,78,1015,0
2012-10-09,Miami,"thunderstorm with heavy rain",297.23,94,1016,2
2012-10-09,Miami,"thunderstorm with light rain",297.78,83,1017,2
2012-10-09,"San Francisco",thunderstorm,292.67,74,1010,3
2012-10-09,Jacksonville,"proximity thunderstorm",297.14,94,1015,3
2012-10-09,Miami,"thunderstorm with heavy rain",297.3,88,1016,6
2012-10-09,Jacksonville,"proximity thunderstorm",296.44,88,1016,5
2012-10-09,Jacksonville,"proximity thunderstorm",300.62,83,1014,2
2012-10-09,Jacksonville,"proximity thunderstorm",301.98,66,1015,2
2012-10-09,Jacksonville,"proximity thunderstorm",301.63,83,1015,2
2012-10-09,Jacksonville,thunderstorm,301.1,69,1017,3
2012-10-09,Jacksonville,"proximity thunderstorm",299,78,1015,3
2012-10-10,Jacksonville,thunderstorm,296.48,94,1016,5
2012-10-11,"New York","heavy intensity drizzle",285.44,100,1016,7
2012-10-12,"San Antonio","heavy intensity rain",297.76,88,1021,3
2012-10-12,"Los Angeles","thunderstorm with rain",287.73,77,1013,0
