City,hemisphere,season,avg_temperature
Vancouver,"Northern Hemisphere",Autumn,283.85732957646303
Indianapolis,"Northern Hemisphere",Autumn,285.51427202692537
Portland,"Northern Hemisphere",Autumn,285.08021914584907
"New York","Northern Hemisphere",Autumn,287.203984600725
"San Francisco","Northern Hemisphere",Autumn,289.1379984243596
Atlanta,"Northern Hemisphere",Autumn,289.7966036329672
Seattle,"Northern Hemisphere",Autumn,284.33718475810366
Jerusalem,"Northern Hemisphere",Autumn,294.8538817353142
"Los Angeles","Northern Hemisphere",Autumn,291.9655128594359
Detroit,"Northern Hemisphere",Autumn,284.6795131850419
"San Diego","Northern Hemisphere",Autumn,291.52562503817154
Montreal,"Northern Hemisphere",Autumn,282.48793493352656
"Las Vegas","Northern Hemisphere",Autumn,291.5578466982667
Jacksonville,"Northern Hemisphere",Autumn,294.92810008317826
Phoenix,"Northern Hemisphere",Autumn,295.53011702579835
Eilat,"Northern Hemisphere",Autumn,298.1117506618089
Albuquerque,"Northern Hemisphere",Autumn,285.4007331409785
Charlotte,"Northern Hemisphere",Autumn,288.7429751855286
Denver,"Northern Hemisphere",Autumn,283.1268814139463
Boston,"Northern Hemisphere",Autumn,285.58355350153386
"San Antonio","Northern Hemisphere",Autumn,294.44995080560227
Miami,"Northern Hemisphere",Autumn,298.9256975593234
Dallas,"Northern Hemisphere",Autumn,293.100718317087
Nahariyya,"Northern Hemisphere",Autumn,296.66277691316617
Houston,"Northern Hemisphere",Autumn,294.7677043796737
Pittsburgh,"Northern Hemisphere",Autumn,284.8630543260085
"Kansas City","Northern Hemisphere",Autumn,287.9941554466768
Beersheba,"Northern Hemisphere",Autumn,293.1003608268908
Minneapolis,"Northern Hemisphere",Autumn,282.24939293264697
Toronto,"Northern Hemisphere",Autumn,284.1037390529569
"Saint Louis","Northern Hemisphere",Autumn,287.41437597750996
Haifa,"Northern Hemisphere",Autumn,297.71308884541713
Chicago,"Northern Hemisphere",Autumn,285.4591825735542
Philadelphia,"Northern Hemisphere",Autumn,286.28833019589274
Nashville,"Northern Hemisphere",Autumn,288.78608713205165
"Tel Aviv District","Northern Hemisphere",Autumn,296.9841691267167
Vancouver,"Northern Hemisphere",Spring,283.28435382711564
Portland,"Northern Hemisphere",Spring,284.4165192589713
"San Francisco","Northern Hemisphere",Spring,287.6291363183085
Seattle,"Northern Hemisphere",Spring,283.83871088059385
"Los Angeles","Northern Hemisphere",Spring,289.7546185696754
"San Diego","Northern Hemisphere",Spring,289.0973297822991
"Las Vegas","Northern Hemisphere",Spring,292.1350355564094
Phoenix,"Northern Hemisphere",Spring,295.00936643085606
"San Antonio","Northern Hemisphere",Spring,293.4953145791238
Dallas,"Northern Hemisphere",Spring,291.6515559759703
Houston,"Northern Hemisphere",Spring,293.8702202067657
"Kansas City","Northern Hemisphere",Spring,286.1476736209952
Minneapolis,"Northern Hemisphere",Spring,280.27161657677823
"Saint Louis","Northern Hemisphere",Spring,286.45628982586413
Chicago,"Northern Hemisphere",Spring,281.75048942990196
Nashville,"Northern Hemisphere",Spring,288.4738562425354
Indianapolis,"Northern Hemisphere",Spring,284.58320584099806
Atlanta,"Northern Hemisphere",Spring,289.78892230964374
Detroit,"Northern Hemisphere",Spring,281.3921813639508
Jacksonville,"Northern Hemisphere",Spring,293.80491017464016
Charlotte,"Northern Hemisphere",Spring,288.85814321355195
Miami,"Northern Hemisphere",Spring,297.61334644276434
Pittsburgh,"Northern Hemisphere",Spring,283.52142783248246
Toronto,"Northern Hemisphere",Spring,279.53647398943747
Philadelphia,"Northern Hemisphere",Spring,284.1261915203624
"New York","Northern Hemisphere",Spring,283.50792188701513
Denver,"Northern Hemisphere",Spring,281.47936512350066
Montreal,"Northern Hemisphere",Spring,278.761315124598
Boston,"Northern Hemisphere",Spring,281.4218449091059
Beersheba,"Northern Hemisphere",Spring,291.08282129746493
"Tel Aviv District","Northern Hemisphere",Spring,292.9675961840713
Eilat,"Northern Hemisphere",Spring,295.67717499259487
Haifa,"Northern Hemisphere",Spring,293.2903483800381
Nahariyya,"Northern Hemisphere",Spring,292.31488323546756
Jerusalem,"Northern Hemisphere",Spring,292.37079872548355
Albuquerque,"Northern Hemisphere",Spring,285.84832234957736
Phoenix,"Northern Hemisphere",Summer,306.0997356146086
Denver,"Northern Hemisphere",Summer,293.8835593865196
Vancouver,"Northern Hemisphere",Summer,291.2738486602022
Detroit,"Northern Hemisphere",Summer,294.64893939957454
"San Antonio","Northern Hemisphere",Summer,301.448286971042
Jacksonville,"Northern Hemisphere",Summer,300.48220222442234
Dallas,"Northern Hemisphere",Summer,301.9221703337658
